,COURSE TITLE,COURSE CODE2,R1 POINTS,R2 POINTS,LEVEL,HEI
558,Civil Engineering,GA484,290,,8,Galway-Mayo Institute of Technology
560,Software and Electronic Engineering,GA580,300,,8,Galway-Mayo Institute of Technology
567,Mechanical Engineering,GA680,330,,8,Galway-Mayo Institute of Technology
568,Energy Engineering,GA681,293,,8,Galway-Mayo Institute of Technology
569,Biomedical Engineering,GA682,313,,8,Galway-Mayo Institute of Technology
570,Agricultural Engineering,GA683,309,,8,Galway-Mayo Institute of Technology
571,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),GA684,340,,8,Galway-Mayo Institute of Technology
572,Manufacturing Engineering Design,GA685,309,,8,Galway-Mayo Institute of Technology
581,Applied Freshwater and Marine Biology,GA780,327,,8,Galway-Mayo Institute of Technology
582,Applied Biology and Biopharmaceutical Science,GA781,337,,8,Galway-Mayo Institute of Technology
583,Chemical and Pharmaceutical Science,GA782,336,,8,Galway-Mayo Institute of Technology
584,Physics and Instrumentation,GA783,363,,8,Galway-Mayo Institute of Technology
585,Science (Undenominated),GA784,372,,8,Galway-Mayo Institute of Technology
586,Medical Science,GA785,473,,8,Galway-Mayo Institute of Technology
587,Forensic Science and Analysis,GA786,317,,8,Galway-Mayo Institute of Technology
588,Computing in Software Development,GA787,270,,8,Galway-Mayo Institute of Technology
589,Computing and Digital Media,GA788,274,,8,Galway-Mayo Institute of Technology
590,Agriculture and Environmental Management,GA789,287,,8,Galway-Mayo Institute of Technology
591,Sport and Exercise Science,GA790,356,,8,Galway-Mayo Institute of Technology
592,Public Health Nutrition,GA791,368,,8,Galway-Mayo Institute of Technology
599,General Nursing,GA880,429,422,8,Galway-Mayo Institute of Technology
600,Psychiatric Nursing,GA882,367,,8,Galway-Mayo Institute of Technology
601,Outdoor Education,GA885,252,,8,Galway-Mayo Institute of Technology
602,History and Geography,GA887,244,,8,Galway-Mayo Institute of Technology
603,Applied Social Care,GA889,266,,8,Galway-Mayo Institute of Technology
604,Early Childhood Education and Care,GA890,270,,8,Galway-Mayo Institute of Technology
605,Geography and Outdoor Education,GA891,244,,8,Galway-Mayo Institute of Technology
607,Education (Design Graphics and Construction),GA980,377,,8,Galway-Mayo Institute of Technology
608,"Furniture Design, Making and Technology - Common Entry",GA984,284,,8,Galway-Mayo Institute of Technology
610,Business Studies,GC200,252,252,8,Griffith College
611,Accounting and Finance,GC201,303,303,8,Griffith College
612,Computing Science,GC230,335,325,8,Griffith College
613,Communications and Media Production,GC250,,,8,Griffith College
614,Business Studies,GC300,429,,8,Griffith College
615,Accounting & Finance,GC301,253,253,8,Griffith College
616,Business Studies - HRM,GC302,,,8,Griffith College
617,International Hospitality Management,GC305,253,253,8,Griffith College
620,Business Studies,GC400,248,248,8,Griffith College
621,Accounting and Finance,GC401,240,227,8,Griffith College
622,Business Studies (HRM),GC402,264,236,8,Griffith College
623,Law,GC403,244,228,8,Griffith College
624,Business Studies (Marketing),GC407,280,280,8,Griffith College
627,Computing Science,GC430,252,220,8,Griffith College
629,Communications and Media Production,GC450,254,254,8,Griffith College
631,Design Communication (portfolio),GC462,,,8,Griffith College
636,Interior Architecture (portfolio),GC489,254,,8,Griffith College
638,Fashion Design (portfolio),GC494,337,217,8,Griffith College
640,Arts (Joint-Honours),GY101,300,,8,"National University of Ireland, Galway"
641,Arts (Psychology),GY104,523,520,8,"National University of Ireland, Galway"
642,Arts (History),GY105,301,,8,"National University of Ireland, Galway"
643,Na Dána (Gaeilge agus Léann an Aistriúcháin),GY107,409,,8,"National University of Ireland, Galway"
644,Arts (Mathematics and Education),GY109,403,,8,"National University of Ireland, Galway"
645,Arts with Children`s Studies,GY110,357,,8,"National University of Ireland, Galway"
646,Arts with Creative Writing,GY111,330,,8,"National University of Ireland, Galway"
647,Arts with Film Studies,GY112,321,,8,"National University of Ireland, Galway"
648,Arts with Human Rights,GY113,368,,8,"National University of Ireland, Galway"
649,Arts with Performing Arts Studies,GY115,387,,8,"National University of Ireland, Galway"
650,"Arts (Drama, Theatre and Performance Studies)",GY118,451,,8,"National University of Ireland, Galway"
651,Arts (Journalism),GY119,400,,8,"National University of Ireland, Galway"
652,"Arts (Child, Youth and Family: Policy and Practice)",GY120,350,,8,"National University of Ireland, Galway"
653,Arts (Children`s Studies),GY121,356,,8,"National University of Ireland, Galway"
654,Na Dána (Cumarsáid agus Gaeilge),GY122,361,,8,"National University of Ireland, Galway"
655,Applied Social Sciences,GY123,358,,8,"National University of Ireland, Galway"
656,Arts (Arts with Data Science),GY124,454,,8,"National University of Ireland, Galway"
657,Arts (Digital Arts and Technology),GY125,328,,8,"National University of Ireland, Galway"
658,Arts (English and Media Studies),GY126,391,,8,"National University of Ireland, Galway"
659,Arts (Film and Digital Media),GY127,401,,8,"National University of Ireland, Galway"
660,Arts (Global Languages),GY128,352,,8,"National University of Ireland, Galway"
661,Arts (International),GY129,420,,8,"National University of Ireland, Galway"
662,Arts (Music),GY130,408,,8,"National University of Ireland, Galway"
663,Arts (History and Globalisation Studies),GY131,360,,8,"National University of Ireland, Galway"
664,"Government (Politics, Economics and Law)",GY132,407,,8,"National University of Ireland, Galway"
665,Education (Computer Science and Mathematical Studies),GY133,422,,8,"National University of Ireland, Galway"
666,Geography and Geosystems,GY134,410,,8,"National University of Ireland, Galway"
667,Commerce,GY201,433,,8,"National University of Ireland, Galway"
668,Commerce (International) with French,GY202,484,,8,"National University of Ireland, Galway"
669,Commerce (International) with German,GY203,489,,8,"National University of Ireland, Galway"
670,Commerce (International) with Spanish,GY204,495,,8,"National University of Ireland, Galway"
671,Business Information Systems (Work Placement & Optional Int`l Study),GY206,465,,8,"National University of Ireland, Galway"
672,Commerce (Accounting) including optional Global Experience year,GY207,509,,8,"National University of Ireland, Galway"
673,Commerce (Gaeilge),GY208,473,,8,"National University of Ireland, Galway"
674,Commerce (Global Experience),GY209,530,,8,"National University of Ireland, Galway"
675,Law and Business,GY250,487,,8,"National University of Ireland, Galway"
676,Law (BCL),GY251,499,,8,"National University of Ireland, Galway"
677,Law (BCL) and Human Rights,GY252,520,,8,"National University of Ireland, Galway"
678,Law and Taxation,GY253,509,,8,"National University of Ireland, Galway"
679,"Law (BCL), Criminology and Criminal Justice",GY254,530,,8,"National University of Ireland, Galway"
680,"Business Studies (International Hotel Management, interview)",GY261,497,,8,"National University of Ireland, Galway"
681,"Commerce (International Hotel Management, interview)",GY262,681,,8,"National University of Ireland, Galway"
682,Science,GY301,433,432,8,"National University of Ireland, Galway"
683,Biomedical Science,GY303,556,,8,"National University of Ireland, Galway"
684,Biotechnology,GY304,465,,8,"National University of Ireland, Galway"
685,Environmental Science,GY308,408,,8,"National University of Ireland, Galway"
686,Financial Mathematics and Economics,GY309,487,,8,"National University of Ireland, Galway"
687,Marine Science,GY310,419,,8,"National University of Ireland, Galway"
688,Environmental Health and Safety,GY313,412,,8,"National University of Ireland, Galway"
689,Earth and Ocean Sciences,GY314,403,,8,"National University of Ireland, Galway"
690,Biopharmaceutical Chemistry,GY318,509,,8,"National University of Ireland, Galway"
691,Mathematical Science,GY319,476,,8,"National University of Ireland, Galway"
692,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",GY320,402,,8,"National University of Ireland, Galway"
693,Genetics and Genomics,GY321,508,,8,"National University of Ireland, Galway"
694,Computer Science and Information Technology,GY350,403,,8,"National University of Ireland, Galway"
695,Engineering (Undenominated),GY401,465,,8,"National University of Ireland, Galway"
696,Civil Engineering,GY402,455,,8,"National University of Ireland, Galway"
697,Mechanical Engineering,GY405,454,,8,"National University of Ireland, Galway"
698,Electronic and Computer Engineering,GY406,510,,8,"National University of Ireland, Galway"
699,Biomedical Engineering,GY408,509,,8,"National University of Ireland, Galway"
700,Project and Construction Management,GY410,403,,8,"National University of Ireland, Galway"
701,Energy Systems Engineering,GY413,502,,8,"National University of Ireland, Galway"
702,Electrical and Electronic Engineering,GY414,405,,8,"National University of Ireland, Galway"
703,"Medicine (five year/six year course, HPAT required)",GY501,728,,8,"National University of Ireland, Galway"
704,Occupational Therapy,GY502,555,,8,"National University of Ireland, Galway"
705,Speech and Language Therapy,GY503,543,,8,"National University of Ireland, Galway"
706,Podiatric Medicine,GY504,443,,8,"National University of Ireland, Galway"
707,General Nursing (Galway and Portiuncula),GY515,476,473,8,"National University of Ireland, Galway"
708,Mental Health Nursing,GY516,440,,8,"National University of Ireland, Galway"
709,Midwifery,GY517,495,,8,"National University of Ireland, Galway"
710,Accounting and Finance,ID001,203,,8,ICD Business School
711,Business Studies,ID002,294,,8,ICD Business School
712,"Art and Design (Common Entry, portfolio)",LC110,740,,8,Limerick Institute of Technology
713,Fashion and Textiles for Product and Costume (portfolio),LC114,880,,8,Limerick Institute of Technology
714,Art and Design Teacher Education (portfolio),LC115,942,,8,Limerick Institute of Technology
715,Digital Marketing,LC220,262,,8,Limerick Institute of Technology
718,Law and Taxation,LC223,307,,8,Limerick Institute of Technology
719,Accounting and Finance,LC224,300,,8,Limerick Institute of Technology
720,Marketing and Management,LC225,298,,8,Limerick Institute of Technology
721,Enterprise and Innovation,LC226,234,234,8,Limerick Institute of Technology
724,Software Development,LC233,272,,8,Limerick Institute of Technology
725,Interactive Digital Media,LC234,225,,8,Limerick Institute of Technology
727,Internet Systems Development,LC236,262,260,8,Limerick Institute of Technology
728,Computer Networks and Systems Management,LC239,307,,8,Limerick Institute of Technology
729,Construction Management,LC241,255,,8,Limerick Institute of Technology
730,Property Valuation and Management,LC242,282,,8,Limerick Institute of Technology
731,Quantity Surveying,LC243,294,,8,Limerick Institute of Technology
732,Built Environment (Common Entry),LC248,288,,8,Limerick Institute of Technology
734,Civil Engineering Management,LC252,270,,8,Limerick Institute of Technology
737,Clinical Technology,LC263,294,,8,Limerick Institute of Technology
738,Forensic and Pharmaceutical Sciences,LC265,413,,8,Limerick Institute of Technology
739,Drug and Medicinal Product Analysis,LC266,262,,8,Limerick Institute of Technology
744,Electrical Engineering,LC275,298,,8,Limerick Institute of Technology
754,Mechanical Engineering,LC288,347,346,8,Limerick Institute of Technology
755,Precision Engineering,LC289,291,,8,Limerick Institute of Technology
757,Social Care Work,LC292,367,,8,Limerick Institute of Technology
758,Business Studies with Travel and Tourism Management,LC293,307,,8,Limerick Institute of Technology
759,Business Studies with Event Management,LC294,279,,8,Limerick Institute of Technology
760,Business Studies with Sports Management,LC295,252,,8,Limerick Institute of Technology
761,Community Development,LC297,235,,8,Limerick Institute of Technology
762,Business,LC320,346,,8,Limerick Institute of Technology
763,Business with Computing,LC330,297,,8,Limerick Institute of Technology
765,Interior Design,LC340,350,,8,Limerick Institute of Technology
766,Biotechnology and Biopharmaceutical Sciences,LC362,413,,8,Limerick Institute of Technology
767,Creative Broadcast and Film Production,LC371,309,,8,Limerick Institute of Technology
768,Music Technology and Production,LC372,325,,8,Limerick Institute of Technology
769,Renewable and Electrical Energy Engineering,LC374,318,,8,Limerick Institute of Technology
770,Industrial Automation and Robotic Systems,LC375,317,,8,Limerick Institute of Technology
771,Electronic Engineering,LC376,318,,8,Limerick Institute of Technology
772,Automotive Engineering and Transport Management,LC380,303,298,8,Limerick Institute of Technology
773,Business Studies in Beauty and Spa Management,LC392,236,,8,Limerick Institute of Technology
774,Early Childhood Education and Care,LC393,236,,8,Limerick Institute of Technology
777,Early Childhood Education and Care,LC401,297,,8,Limerick Institute of Technology
778,Social Care Work,LC402,225,,8,Limerick Institute of Technology
779,Environmental Science and Climate,LC408,279,,8,Limerick Institute of Technology
780,Data Analytics and Cyber Security,LC414,236,,8,Limerick Institute of Technology
782,Business,LC416,274,,8,Limerick Institute of Technology
783,Computing - Games Design and Development,LC418,270,,8,Limerick Institute of Technology
784,Sports Strength and Conditioning,LC422,298,,8,Limerick Institute of Technology
789,Environmental Science and Agriculture,LC434,297,,8,Limerick Institute of Technology
790,Game Art and Design (portfolio),LC502,852,,8,Limerick Institute of Technology
792,Creative Media and Design,LC517,234,,8,Limerick Institute of Technology
793,Digital Animation Production (portfolio),LC518,808,,8,Limerick Institute of Technology
797,Social Care Work,LC612,320,,8,Limerick Institute of Technology
798,Early Childhood Education and Care,LC613,242,,8,Limerick Institute of Technology
799,Arts,LM002,348,,8,University of Limerick
800,Law and Accounting,LM020,465,,8,University of Limerick
801,Performing Arts (audition required),LM026,303,,8,University of Limerick
802,Criminal Justice,LM028,418,,8,University of Limerick
803,Law Plus,LM029,490,,8,University of Limerick
804,Psychology and Sociology,LM038,500,,8,University of Limerick
805,Journalism and Digital Communication,LM039,402,,8,University of Limerick
806,European Studies,LM040,369,,8,University of Limerick
807,Applied Languages,LM044,442,,8,University of Limerick
808,Business Studies (options),LM050,431,,8,University of Limerick
809,International Business,LM056,528,,8,University of Limerick
810,Financial Mathematics,LM058,403,,8,University of Limerick
811,Technology Management,LM063,379,,8,University of Limerick
812,Food Science and Health,LM068,421,,8,University of Limerick
813,Product Design and Technology (portfolio required),LM076,408,,8,University of Limerick
814,Aeronautical Engineering,LM077,520,,8,University of Limerick
815,Construction Management and Engineering,LM082,398,,8,University of Limerick
816,Sport and Exercise Sciences,LM089,474,,8,University of Limerick
817,Physical Education with concurrent Teacher Education,LM090,532,,8,University of Limerick
818,Languages with concurrent Teacher Education,LM091,517,,8,University of Limerick
819,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),LM092,507,,8,University of Limerick
820,Equine Science,LM093,339,,8,University of Limerick
821,Materials and Architectural Technology with concurrent Teacher Education,LM094,440,,8,University of Limerick
822,Materials and Engineering Technology with concurrent Teacher Education,LM095,367,,8,University of Limerick
823,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),LM096,405,,8,University of Limerick
824,Mathematics and Computer Science with concurrent Teacher Education,LM097,402,,8,University of Limerick
825,Architecture (portfolio requirement suspended),LM099,498,,8,University of Limerick
826,Physiotherapy,LM100,589,,8,University of Limerick
827,Medicine  - Graduate Entry (GAMSAT required),LM101,55,,8,University of Limerick
828,Psychology,LM102,509,,8,University of Limerick
829,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),LM103,392,,8,University of Limerick
830,Chemical and Biochemical Engineering,LM115,454,,8,University of Limerick
831,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),LM116,476,,8,University of Limerick
832,Electronic and Computer Engineering,LM118,403,,8,University of Limerick
833,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),LM121,351,,8,University of Limerick
834,Creative Media and Interaction Design (Digital Design/Music Media Tech),LM122,327,,8,University of Limerick
835,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),LM123,441,,8,University of Limerick
836,Mathematics (Math Science/Maths and Physics/Economics and Maths),LM124,437,,8,University of Limerick
837,Physics (Applied Physics or Mathematics & Physics),LM125,404,,8,University of Limerick
838,General Nursing,LM150,475,,8,University of Limerick
839,Mental Health Nursing,LM152,419,,8,University of Limerick
840,Intellectual Disability Nursing,LM154,420,,8,University of Limerick
841,Midwifery,LM156,469,,8,University of Limerick
844,Business - Accounting,LY108,309,,8,Letterkenny Institute of Technology
845,Business,LY118,290,,8,Letterkenny Institute of Technology
848,Law,LY208,300,,8,Letterkenny Institute of Technology
849,Sports and Exercise - Common Entry,LY228,300,,8,Letterkenny Institute of Technology
852,Design - Common Entry,LY408,320,,8,Letterkenny Institute of Technology
858,Fire Safety Engineering,LY508,276,,8,Letterkenny Institute of Technology
859,Quantity Surveying,LY518,301,,8,Letterkenny Institute of Technology
861,Construction Management,LY528,271,,8,Letterkenny Institute of Technology
863,Mechanical Engineering,LY608,300,,8,Letterkenny Institute of Technology
865,Electronic Engineering,LY618,312,,8,Letterkenny Institute of Technology
867,Applied Computing,LY708,306,,8,Letterkenny Institute of Technology
870,Computer Science,LY748,317,317,8,Letterkenny Institute of Technology
874,Science - Common Entry,LY818,303,,8,Letterkenny Institute of Technology
876,Agriculture - Common Entry,LY828,307,,8,Letterkenny Institute of Technology
884,General Nursing,LY908,400,,8,Letterkenny Institute of Technology
886,Psychiatric Nursing,LY918,357,,8,Letterkenny Institute of Technology
887,Intellectual Disability Nursing,LY928,326,,8,Letterkenny Institute of Technology
888,"Early Childhood Care, Health and Education",LY968,303,,8,Letterkenny Institute of Technology
889,Health & Social Care - Common Entry,LY978,280,,8,Letterkenny Institute of Technology
890,Education - Primary Teaching (Froebel),MH001,507,,8,Maynooth University
891,Education - Primary Teaching - Gaeltacht Applicants (Froebel),MH002,,,8,Maynooth University
892,Arts,MH101,318,,8,Maynooth University
893,Music,MH103,#,,8,Maynooth University
894,Psychology - 3 years,MH106,521,,8,Maynooth University
895,Social Science,MH107,346,,8,Maynooth University
896,Media Studies,MH109,316,,8,Maynooth University
897,Community and Youth Work (Full-Time),MH116,#,,8,Maynooth University
898,Science,MH201,360,,8,Maynooth University
899,Biotechnology,MH202,455,,8,Maynooth University
900,Biological and Geographical Sciences,MH203,430,,8,Maynooth University
901,Physics with Astrophysics,MH204,422,,8,Maynooth University
902,Theoretical Physics and Mathematics,MH206,510,,8,Maynooth University
903,Data Science,MH207,445,,8,Maynooth University
904,Biological and Biomedical Sciences,MH208,498,,8,Maynooth University
905,Psychology (through Science) - 4 years,MH209,498,,8,Maynooth University
906,Pharmaceutical and Biomedical Chemistry,MH210,487,,8,Maynooth University
907,Science or Maths & Computer Science or Maths & Applied Maths (with Ed),MH212,422,,8,Maynooth University
908,Engineering (Computer/Electronic/Communications),MH304,333,333,8,Maynooth University
909,Product Design,MH305,357,,8,Maynooth University
910,Robotics and Intelligent Devices,MH306,361,,8,Maynooth University
911,Finance (options),MH401,357,,8,Maynooth University
912,Quantitative Finance,MH402,476,,8,Maynooth University
913,Accounting and Finance,MH403,422,,8,Maynooth University
914,Business (options),MH404,430,,8,Maynooth University
915,Equine Business,MH405,357,,8,Maynooth University
916,Business and Accounting,MH407,420,,8,Maynooth University
917,Entrepreneurship,MH411,371,,8,Maynooth University
918,LLB Law - four year Single Major Law programme,MH501,473,,8,Maynooth University
919,Law (options),MH502,451,,8,Maynooth University
920,Computer Science through Arts (options),MH601,352,,8,Maynooth University
921,Computer Science through Science (options),MH602,351,,8,Maynooth University
922,Computational Thinking,MH603,532,,8,Maynooth University
923,Early Childhood - Teaching and Learning (part-time),MH801,327,,8,Maynooth University
924,"Community and Youth Work (part-time, in service)",MH802,#,#,8,Maynooth University
925,"Local Studies/Community Studies (part-time, evening) - Mature Students",MH803,#,#,8,Maynooth University
926,Contemporary & Applied Theatre Studies,MI001,375,,8,Mary Immaculate College
927,Arts,MI002,300,281,8,Mary Immaculate College
928,Education - Primary Teaching - International,MI004,577,,8,Mary Immaculate College
929,Education - Primary Teaching,MI005,495,,8,Mary Immaculate College
930,Education - Primary Teaching - Gaeltacht Applicants,MI006,456,,8,Mary Immaculate College
931,Early Childhood Care and Education,MI007,357,,8,Mary Immaculate College
932,Education and Psychology - Primary Teaching,MI008,588,,8,Mary Immaculate College
933,"Education, Business Studies and Accounting",MI009,402,,8,Mary Immaculate College
934,"Education, Business Studies and Religious Studies",MI010,368,,8,Mary Immaculate College
935,"Education, Gaeilge and Religious Studies",MI011,409,,8,Mary Immaculate College
936,"Education, Gaeilge and Business Studies",MI012,401,,8,Mary Immaculate College
937,"Education, Mathematics and Gaeilge",MI013,444,,8,Mary Immaculate College
938,"Education, Mathematics and Business Studies",MI014,434,,8,Mary Immaculate College
939,Theology and Arts,MU001,290,290,8,"Pontifical University, St Patrick's College"
940,Theology,MU002,440,,8,"Pontifical University, St Patrick's College"
941,Computing (Degree Award options),NC003,260,,8,National College of Ireland (NCI)
942,Human Resource Management,NC005,300,,8,National College of Ireland (NCI)
943,Business,NC009,300,,8,National College of Ireland (NCI)
944,Psychology,NC010,400,,8,National College of Ireland (NCI)
945,Marketing Practice,NC020,280,,8,National College of Ireland (NCI)
946,Accounting and Finance,NC022,337,,8,National College of Ireland (NCI)
947,Technology Management (with specialisations),NC023,261,,8,National College of Ireland (NCI)
952,Montessori Education,NM801,220,,8,St Nicholas Montessori College Ireland
955,"Social, Political and Community Studies",PC405,253,216,8,"Carlow College, St. Patrick`s"
956,Arts and Humanities (fulfils Teaching Council requirements),PC410,252,209,8,"Carlow College, St. Patrick`s"
957,English and History (fulfils Teaching Council requirements),PC411,255,209,8,"Carlow College, St. Patrick`s"
958,Medicine - Undergraduate Entry (HPAT required),RC001,733,,8,RCSI University of Medicine & Health Sciences
959,Physiotherapy,RC004,566,,8,RCSI University of Medicine & Health Sciences
960,Pharmacy,RC005,579,,8,RCSI University of Medicine & Health Sciences
961,Medicine - Graduate Entry (GAMSAT required),RC101,,,8,RCSI University of Medicine & Health Sciences
970,Business,SG141,261,,8,"Institute of Technology, Sligo"
971,Business in International Marketing and Languages (French),SG142,279,,8,"Institute of Technology, Sligo"
972,Business in International Marketing and Languages (Spanish),SG144,270,,8,"Institute of Technology, Sligo"
973,Accounting,SG146,309,,8,"Institute of Technology, Sligo"
974,Sport with Business,SG147,307,,8,"Institute of Technology, Sligo"
975,Tourism with Event Management,SG148,269,,8,"Institute of Technology, Sligo"
980,Performing Arts,SG241,328,,8,"Institute of Technology, Sligo"
981,Early Childhood Care and Education,SG242,279,,8,"Institute of Technology, Sligo"
982,Social Care Practice,SG243,301,,8,"Institute of Technology, Sligo"
983,Fine Art,SG244,505,,8,"Institute of Technology, Sligo"
984,Creative Design,SG245,282,,8,"Institute of Technology, Sligo"
985,Computing,SG246,290,,8,"Institute of Technology, Sligo"
986,English and Psychology,SG247,309,,8,"Institute of Technology, Sligo"
987,Sociology and Politics,SG248,281,,8,"Institute of Technology, Sligo"
988,Writing and Literature,SG249,297,,8,"Institute of Technology, Sligo"
989,Application Design and User Experience,SG250,412,,8,"Institute of Technology, Sligo"
990,Computing (Smart Technologies),SG251,327,,8,"Institute of Technology, Sligo"
991,Software Development,SG252,307,,8,"Institute of Technology, Sligo"
992,Computer Networks and Cloud Infrastructure,SG253,324,,8,"Institute of Technology, Sligo"
993,Writing and Literature Online,SG254,225,225,8,"Institute of Technology, Sligo"
1005,Civil Engineering,SG342,415,,8,"Institute of Technology, Sligo"
1006,Quantity Surveying,SG343,311,,8,"Institute of Technology, Sligo"
1007,Construction Project Management and Applied Technology,SG346,291,,8,"Institute of Technology, Sligo"
1008,Architecture,SG347,360,,8,"Institute of Technology, Sligo"
1009,Interior Architecture and Design,SG348,316,,8,"Institute of Technology, Sligo"
1020,Occupational Safety and Health,SG442,290,,8,"Institute of Technology, Sligo"
1021,Human Nutrition,SG443,356,,8,"Institute of Technology, Sligo"
1022,Science Undenominated,SG444,338,,8,"Institute of Technology, Sligo"
1023,Pharmaceutical Science with Drug Development,SG445,311,,8,"Institute of Technology, Sligo"
1024,Health Science and Physical Activity,SG447,328,,8,"Institute of Technology, Sligo"
1025,Forensic Investigation and Analysis,SG448,306,,8,"Institute of Technology, Sligo"
1026,Medical Biotechnology,SG449,341,,8,"Institute of Technology, Sligo"
1027,Environmental Science with Ecology (Level 8),SG450,300,,8,"Institute of Technology, Sligo"
1054,"Animation, Visual Effects and Motion Design (Level 8)",TL801,281,,8,"Institute of Technology, Tralee"
1055,"TV, Radio and New Media (Level 8)",TL802,325,,8,"Institute of Technology, Tralee"
1056,Computing with Software Development,TL810,310,,8,"Institute of Technology, Tralee"
1057,Computing with Games Development,TL811,358,,8,"Institute of Technology, Tralee"
1058,Computing (Degree Award options),TL815,308,,8,"Institute of Technology, Tralee"
1059,Event Management (3 year programme),TL823,299,,8,"Institute of Technology, Tralee"
1060,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),TL831,306,,8,"Institute of Technology, Tralee"
1061,Agricultural Engineering,TL844,300,,8,"Institute of Technology, Tralee"
1062,Civil Engineering,TL845,325,,8,"Institute of Technology, Tralee"
1063,Manufacturing Engineering,TL847,302,,8,"Institute of Technology, Tralee"
1064,Agricultural Science,TL848,308,,8,"Institute of Technology, Tralee"
1065,Wildlife Biology (Degree Award options),TL851,309,,8,"Institute of Technology, Tralee"
1066,Pharmaceutical Science (Degree Award options),TL855,317,,8,"Institute of Technology, Tralee"
1067,Veterinary Bioscience,TL858,308,,8,"Institute of Technology, Tralee"
1068,Health and Leisure (Degree Award options),TL871,300,,8,"Institute of Technology, Tralee"
1069,Health and Leisure with Massage,TL872,309,,8,"Institute of Technology, Tralee"
1070,Coaching and Sports Performance,TL873,289,,8,"Institute of Technology, Tralee"
1071,Early Childhood Care and Education,TL880,307,,8,"Institute of Technology, Tralee"
1072,Social Care,TL881,308,,8,"Institute of Technology, Tralee"
1073,Counselling with Addiction - Mature applicants only,TL889,,,8,"Institute of Technology, Tralee"
1074,General Nursing and Mature Applicants,TL890,440,414,8,"Institute of Technology, Tralee"
1075,Mental Health Nursing and Mature Applicants,TL891,389,378,8,"Institute of Technology, Tralee"
1076,Music,TR002,435,429,8,Trinity College Dublin
1077,History,TR003,497,493,8,Trinity College Dublin
1078,Law,TR004,566,565,8,Trinity College Dublin
1079,Philosophy,TR005,442,,8,Trinity College Dublin
1080,Psychology,TR006,567,555,8,Trinity College Dublin
1081,Clinical Speech and Language Studies,TR007,529,,8,Trinity College Dublin
1082,Music Education,TR009,420,,8,Trinity College Dublin
1083,History and Political Science,TR012,555,554,8,Trinity College Dublin
1084,"Philosophy, Political Science, Economics and Sociology",TR015,589,,8,Trinity College Dublin
1085,Deaf Studies,TR016,340,,8,Trinity College Dublin
1086,Law and Business,TR017,602,,8,Trinity College Dublin
1087,Law and French,TR018,565,,8,Trinity College Dublin
1088,Law and German,TR019,543,542,8,Trinity College Dublin
1089,Law and Political Science,TR020,602,,8,Trinity College Dublin
1090,"Classics, Ancient History and Archaeology",TR021,370,,8,Trinity College Dublin
1091,Early and Modern Irish,TR022,398,,8,Trinity College Dublin
1092,English Studies,TR023,487,476,8,Trinity College Dublin
1093,European Studies,TR024,544,542,8,Trinity College Dublin
1094,Drama and Theatre Studies,TR025,564,530,8,Trinity College Dublin
1095,Ancient and Medieval History and Culture,TR028,342,,8,Trinity College Dublin
1096,Political Science and Geography,TR029,526,520,8,Trinity College Dublin
1097,Mathematics,TR031,531,,8,Trinity College Dublin
1098,Engineering,TR032,510,509,8,Trinity College Dublin
1099,Computer Science,TR033,509,,8,Trinity College Dublin
1100,Management Science and Information Systems Studies,TR034,613,,8,Trinity College Dublin
1101,Theoretical Physics,TR035,543,,8,Trinity College Dublin
1102,Engineering with Management,TR038,532,,8,Trinity College Dublin
1103,Computer Science and Language,TR039,454,424,8,Trinity College Dublin
1104,Middle Eastern and European Languages and Cultures,TR040,466,,8,Trinity College Dublin
1105,Religion,TR041,368,,8,Trinity College Dublin
1106,Film,TR042,489,476,8,Trinity College Dublin
1107,History of Art and Architecture,TR043,393,354,8,Trinity College Dublin
1108,Medicine (HPAT required),TR051,735,734,8,Trinity College Dublin
1109,Dental Science,TR052,613,613,8,Trinity College Dublin
1110,Physiotherapy,TR053,566,566,8,Trinity College Dublin
1111,Occupational Therapy,TR054,533,,8,Trinity College Dublin
1112,Radiation Therapy,TR055,543,,8,Trinity College Dublin
1113,Human Health and Disease,TR056,565,,8,Trinity College Dublin
1114,Biological and Biomedical Sciences,TR060,543,543,8,Trinity College Dublin
1115,Chemical Sciences,TR061,517,510,8,Trinity College Dublin
1116,Geography and Geoscience,TR062,473,,8,Trinity College Dublin
1117,Physical Sciences,TR063,498,498,8,Trinity College Dublin
1118,Pharmacy,TR072,590,,8,Trinity College Dublin
1119,Global Business,TR080,589,,8,Trinity College Dublin
1120,"Business, Economic and Social Studies (BESS)",TR081,543,543,8,Trinity College Dublin
1121,Computer Science and Business,TR082,555,,8,Trinity College Dublin
1122,Sociology and Social Policy,TR083,498,487,8,Trinity College Dublin
1123,Social Studies (Social Work),TR084,462,,8,Trinity College Dublin
