,COURSE TITLE,COURSE CODE2,R1 POINTS,R2 POINTS,LEVEL,HEI
123,Computer Science,CK401,468,,8,University College Cork (NUI)
124,Biological and Chemical Sciences,CK402,510,509,8,University College Cork (NUI)
125,"Biological, Earth and Environmental Sciences",CK404,467,,8,University College Cork (NUI)
126,Genetics,CK405,487,,8,University College Cork (NUI)
127,Chemical Sciences,CK406,485,472,8,University College Cork (NUI)
128,Mathematical Sciences,CK407,566,565,8,University College Cork (NUI)
129,Physics and Astrophysics,CK408,554,542,8,University College Cork (NUI)
130,Industrial Physics - Offered jointly by UCC and CIT,CK409,432,,8,University College Cork (NUI)
131,Data Science and Analytics,CK411,510,,8,University College Cork (NUI)
132,Agricultural Science,CK412,496,496,8,University College Cork (NUI)
133,Nutritional Sciences,CK504,518,,8,University College Cork (NUI)
134,Food Science,CK505,441,440,8,University College Cork (NUI)
135,Engineering,CK600,487,,8,University College Cork (NUI)
136,Architecture - Offered jointly by UCC and CIT,CK606,484,476,8,University College Cork (NUI)
137,Medicine (Undergraduate Entry - HPAT required),CK701,731,,8,University College Cork (NUI)
138,Dentistry,CK702,613,613,8,University College Cork (NUI)
139,Pharmacy,CK703,590,589,8,University College Cork (NUI)
140,Occupational Therapy,CK704,566,555,8,University College Cork (NUI)
141,Speech and Language Therapy,CK705,520,,8,University College Cork (NUI)
142,Public Health Sciences,CK706,454,,8,University College Cork (NUI)
143,Medical and Health Sciences,CK707,542,541,8,University College Cork (NUI)
144,General Nursing,CK710,454,,8,University College Cork (NUI)
145,Children`s and General Nursing (Integrated),CK712,533,,8,University College Cork (NUI)
146,Mental Health Nursing,CK720,423,,8,University College Cork (NUI)
147,Intellectual Disability Nursing,CK730,419,411,8,University College Cork (NUI)
148,Midwifery,CK740,484,,8,University College Cork (NUI)
149,Medicine  - Graduate Entry (GAMSAT required),CK791,57,,8,University College Cork (NUI)
150,Education - Primary Teaching,CM001,484,,8,Marino Institute of Education
151,Education - Primary Teaching - Gaeltacht Applicants,CM002,,,8,Marino Institute of Education
152,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM003,528,,8,Marino Institute of Education
153,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM004,494,,8,Marino Institute of Education
154,Education Studies,CM010,319,,8,Marino Institute of Education
155,Early Childhood Education,CM020,327,,8,Marino Institute of Education
180,Chemical and Biopharmaceutical Engineering,CR105,443,,8,Cork Institute of Technology
181,Software Development,CR106,411,,8,Cork Institute of Technology
182,Mechanical Engineering,CR108,434,,8,Cork Institute of Technology
183,Structural Engineering,CR109,394,,8,Cork Institute of Technology
184,Automotive Business Management and Technology,CR110,311,,8,Cork Institute of Technology
185,Creative Digital Media,CR112,361,,8,Cork Institute of Technology
186,Computer Systems,CR116,332,,8,Cork Institute of Technology
