,title,code,pointsR1,pointsR2,HEI
396,Civil Engineering,GA484,290,nan,Galway-Mayo Institute of Technology
397,Software and Electronic Engineering,GA580,300,nan,Galway-Mayo Institute of Technology
398,Mechanical Engineering,GA680,330,nan,Galway-Mayo Institute of Technology
399,Energy Engineering,GA681,293,nan,Galway-Mayo Institute of Technology
400,Biomedical Engineering,GA682,313,nan,Galway-Mayo Institute of Technology
401,Agricultural Engineering,GA683,309,nan,Galway-Mayo Institute of Technology
402,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),GA684,340,nan,Galway-Mayo Institute of Technology
403,Manufacturing Engineering Design,GA685,309,nan,Galway-Mayo Institute of Technology
404,Applied Freshwater and Marine Biology,GA780,327,nan,Galway-Mayo Institute of Technology
405,Applied Biology and Biopharmaceutical Science,GA781,337,nan,Galway-Mayo Institute of Technology
406,Chemical and Pharmaceutical Science,GA782,336,nan,Galway-Mayo Institute of Technology
407,Physics and Instrumentation,GA783,363,nan,Galway-Mayo Institute of Technology
408,Science (Undenominated),GA784,372,nan,Galway-Mayo Institute of Technology
409,Medical Science,GA785,473,nan,Galway-Mayo Institute of Technology
410,Forensic Science and Analysis,GA786,317,nan,Galway-Mayo Institute of Technology
411,Computing in Software Development,GA787,270,nan,Galway-Mayo Institute of Technology
412,Computing and Digital Media,GA788,274,nan,Galway-Mayo Institute of Technology
413,Agriculture and Environmental Management,GA789,287,nan,Galway-Mayo Institute of Technology
414,Sport and Exercise Science,GA790,356,nan,Galway-Mayo Institute of Technology
415,Public Health Nutrition,GA791,368,nan,Galway-Mayo Institute of Technology
416,General Nursing,GA880,429,422,Galway-Mayo Institute of Technology
417,Psychiatric Nursing,GA882,367,nan,Galway-Mayo Institute of Technology
418,Outdoor Education,GA885,252,nan,Galway-Mayo Institute of Technology
419,History and Geography,GA887,244,nan,Galway-Mayo Institute of Technology
420,Applied Social Care,GA889,266,nan,Galway-Mayo Institute of Technology
421,Early Childhood Education and Care,GA890,270,nan,Galway-Mayo Institute of Technology
422,Geography and Outdoor Education,GA891,244,nan,Galway-Mayo Institute of Technology
423,Education (Design Graphics and Construction),GA980,377,nan,Galway-Mayo Institute of Technology
424,"Furniture Design, Making and Technology - Common Entry",GA984,284,nan,Galway-Mayo Institute of Technology
425,Business Studies,GC200,252,252,Griffith College
426,Accounting and Finance,GC201,303,303,Griffith College
427,Computing Science,GC230,335,325,Griffith College
428,Communications and Media Production,GC250,nan,nan,Griffith College
429,Business Studies,GC300,429,nan,Griffith College
430,Accounting & Finance,GC301,253,253,Griffith College
431,Business Studies - HRM,GC302,nan,nan,Griffith College
432,International Hospitality Management,GC305,253,253,Griffith College
433,Business Studies,GC400,248,248,Griffith College
434,Accounting and Finance,GC401,240,227,Griffith College
435,Business Studies (HRM),GC402,264,236,Griffith College
436,Law,GC403,244,228,Griffith College
437,Business Studies (Marketing),GC407,280,280,Griffith College
438,Computing Science,GC430,252,220,Griffith College
439,Communications and Media Production,GC450,254,254,Griffith College
440,Design Communication (portfolio),GC462,nan,nan,Griffith College
441,Interior Architecture (portfolio),GC489,254,nan,Griffith College
442,Fashion Design (portfolio),GC494,337,217,Griffith College
443,Arts (Joint-Honours),GY101,300,nan,"National University of Ireland, Galway"
444,Arts (Psychology),GY104,523,520,"National University of Ireland, Galway"
445,Arts (History),GY105,301,nan,"National University of Ireland, Galway"
446,Na Dána (Gaeilge agus Léann an Aistriúcháin),GY107,409,nan,"National University of Ireland, Galway"
447,Arts (Mathematics and Education),GY109,403,nan,"National University of Ireland, Galway"
448,Arts with Children`s Studies,GY110,357,nan,"National University of Ireland, Galway"
449,Arts with Creative Writing,GY111,330,nan,"National University of Ireland, Galway"
450,Arts with Film Studies,GY112,321,nan,"National University of Ireland, Galway"
451,Arts with Human Rights,GY113,368,nan,"National University of Ireland, Galway"
452,Arts with Performing Arts Studies,GY115,387,nan,"National University of Ireland, Galway"
453,"Arts (Drama, Theatre and Performance Studies)",GY118,451,nan,"National University of Ireland, Galway"
454,Arts (Journalism),GY119,400,nan,"National University of Ireland, Galway"
455,"Arts (Child, Youth and Family: Policy and Practice)",GY120,350,nan,"National University of Ireland, Galway"
456,Arts (Children`s Studies),GY121,356,nan,"National University of Ireland, Galway"
457,Na Dána (Cumarsáid agus Gaeilge),GY122,361,nan,"National University of Ireland, Galway"
458,Applied Social Sciences,GY123,358,nan,"National University of Ireland, Galway"
459,Arts (Arts with Data Science),GY124,454,nan,"National University of Ireland, Galway"
460,Arts (Digital Arts and Technology),GY125,328,nan,"National University of Ireland, Galway"
461,Arts (English and Media Studies),GY126,391,nan,"National University of Ireland, Galway"
462,Arts (Film and Digital Media),GY127,401,nan,"National University of Ireland, Galway"
463,Arts (Global Languages),GY128,352,nan,"National University of Ireland, Galway"
464,Arts (International),GY129,420,nan,"National University of Ireland, Galway"
465,Arts (Music),GY130,408,nan,"National University of Ireland, Galway"
466,Arts (History and Globalisation Studies),GY131,360,nan,"National University of Ireland, Galway"
467,"Government (Politics, Economics and Law)",GY132,407,nan,"National University of Ireland, Galway"
468,Education (Computer Science and Mathematical Studies),GY133,422,nan,"National University of Ireland, Galway"
469,Geography and Geosystems,GY134,410,nan,"National University of Ireland, Galway"
470,Commerce,GY201,433,nan,"National University of Ireland, Galway"
471,Commerce (International) with French,GY202,484,nan,"National University of Ireland, Galway"
472,Commerce (International) with German,GY203,489,nan,"National University of Ireland, Galway"
473,Commerce (International) with Spanish,GY204,495,nan,"National University of Ireland, Galway"
474,Business Information Systems (Work Placement & Optional Int`l Study),GY206,465,nan,"National University of Ireland, Galway"
475,Commerce (Accounting) including optional Global Experience year,GY207,509,nan,"National University of Ireland, Galway"
476,Commerce (Gaeilge),GY208,473,nan,"National University of Ireland, Galway"
477,Commerce (Global Experience),GY209,530,nan,"National University of Ireland, Galway"
478,Law and Business,GY250,487,nan,"National University of Ireland, Galway"
479,Law (BCL),GY251,499,nan,"National University of Ireland, Galway"
480,Law (BCL) and Human Rights,GY252,520,nan,"National University of Ireland, Galway"
481,Law and Taxation,GY253,509,nan,"National University of Ireland, Galway"
482,"Law (BCL), Criminology and Criminal Justice",GY254,530,nan,"National University of Ireland, Galway"
483,"Business Studies (International Hotel Management, interview)",GY261,497,nan,"National University of Ireland, Galway"
484,"Commerce (International Hotel Management, interview)",GY262,681,nan,"National University of Ireland, Galway"
485,Science,GY301,433,432,"National University of Ireland, Galway"
486,Biomedical Science,GY303,556,nan,"National University of Ireland, Galway"
487,Biotechnology,GY304,465,nan,"National University of Ireland, Galway"
488,Environmental Science,GY308,408,nan,"National University of Ireland, Galway"
489,Financial Mathematics and Economics,GY309,487,nan,"National University of Ireland, Galway"
490,Marine Science,GY310,419,nan,"National University of Ireland, Galway"
491,Environmental Health and Safety,GY313,412,nan,"National University of Ireland, Galway"
492,Earth and Ocean Sciences,GY314,403,nan,"National University of Ireland, Galway"
493,Biopharmaceutical Chemistry,GY318,509,nan,"National University of Ireland, Galway"
494,Mathematical Science,GY319,476,nan,"National University of Ireland, Galway"
495,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",GY320,402,nan,"National University of Ireland, Galway"
496,Genetics and Genomics,GY321,508,nan,"National University of Ireland, Galway"
497,Computer Science and Information Technology,GY350,403,nan,"National University of Ireland, Galway"
498,Engineering (Undenominated),GY401,465,nan,"National University of Ireland, Galway"
499,Civil Engineering,GY402,455,nan,"National University of Ireland, Galway"
500,Mechanical Engineering,GY405,454,nan,"National University of Ireland, Galway"
501,Electronic and Computer Engineering,GY406,510,nan,"National University of Ireland, Galway"
502,Biomedical Engineering,GY408,509,nan,"National University of Ireland, Galway"
503,Project and Construction Management,GY410,403,nan,"National University of Ireland, Galway"
504,Energy Systems Engineering,GY413,502,nan,"National University of Ireland, Galway"
505,Electrical and Electronic Engineering,GY414,405,nan,"National University of Ireland, Galway"
506,"Medicine (five year/six year course, HPAT required)",GY501,728,nan,"National University of Ireland, Galway"
507,Occupational Therapy,GY502,555,nan,"National University of Ireland, Galway"
508,Speech and Language Therapy,GY503,543,nan,"National University of Ireland, Galway"
509,Podiatric Medicine,GY504,443,nan,"National University of Ireland, Galway"
510,General Nursing (Galway and Portiuncula),GY515,476,473,"National University of Ireland, Galway"
511,Mental Health Nursing,GY516,440,nan,"National University of Ireland, Galway"
512,Midwifery,GY517,495,nan,"National University of Ireland, Galway"
513,Accounting and Finance,ID001,203,nan,ICD Business School
514,Business Studies,ID002,294,nan,ICD Business School
515,"Art and Design (Common Entry, portfolio)",LC110,740,nan,Limerick Institute of Technology
516,Fashion and Textiles for Product and Costume (portfolio),LC114,880,nan,Limerick Institute of Technology
517,Art and Design Teacher Education (portfolio),LC115,942,nan,Limerick Institute of Technology
518,Digital Marketing,LC220,262,nan,Limerick Institute of Technology
519,Law and Taxation,LC223,307,nan,Limerick Institute of Technology
520,Accounting and Finance,LC224,300,nan,Limerick Institute of Technology
521,Marketing and Management,LC225,298,nan,Limerick Institute of Technology
522,Enterprise and Innovation,LC226,234,234,Limerick Institute of Technology
523,Software Development,LC233,272,nan,Limerick Institute of Technology
524,Interactive Digital Media,LC234,225,nan,Limerick Institute of Technology
525,Internet Systems Development,LC236,262,260,Limerick Institute of Technology
526,Computer Networks and Systems Management,LC239,307,nan,Limerick Institute of Technology
527,Construction Management,LC241,255,nan,Limerick Institute of Technology
528,Property Valuation and Management,LC242,282,nan,Limerick Institute of Technology
529,Quantity Surveying,LC243,294,nan,Limerick Institute of Technology
530,Built Environment (Common Entry),LC248,288,nan,Limerick Institute of Technology
531,Civil Engineering Management,LC252,270,nan,Limerick Institute of Technology
532,Clinical Technology,LC263,294,nan,Limerick Institute of Technology
533,Forensic and Pharmaceutical Sciences,LC265,413,nan,Limerick Institute of Technology
534,Drug and Medicinal Product Analysis,LC266,262,nan,Limerick Institute of Technology
535,Electrical Engineering,LC275,298,nan,Limerick Institute of Technology
536,Mechanical Engineering,LC288,347,346,Limerick Institute of Technology
537,Precision Engineering,LC289,291,nan,Limerick Institute of Technology
538,Social Care Work,LC292,367,nan,Limerick Institute of Technology
539,Business Studies with Travel and Tourism Management,LC293,307,nan,Limerick Institute of Technology
540,Business Studies with Event Management,LC294,279,nan,Limerick Institute of Technology
541,Business Studies with Sports Management,LC295,252,nan,Limerick Institute of Technology
542,Community Development,LC297,235,nan,Limerick Institute of Technology
543,Business,LC320,346,nan,Limerick Institute of Technology
544,Business with Computing,LC330,297,nan,Limerick Institute of Technology
545,Interior Design,LC340,350,nan,Limerick Institute of Technology
546,Biotechnology and Biopharmaceutical Sciences,LC362,413,nan,Limerick Institute of Technology
547,Creative Broadcast and Film Production,LC371,309,nan,Limerick Institute of Technology
548,Music Technology and Production,LC372,325,nan,Limerick Institute of Technology
549,Renewable and Electrical Energy Engineering,LC374,318,nan,Limerick Institute of Technology
550,Industrial Automation and Robotic Systems,LC375,317,nan,Limerick Institute of Technology
551,Electronic Engineering,LC376,318,nan,Limerick Institute of Technology
552,Automotive Engineering and Transport Management,LC380,303,298,Limerick Institute of Technology
553,Business Studies in Beauty and Spa Management,LC392,236,nan,Limerick Institute of Technology
554,Early Childhood Education and Care,LC393,236,nan,Limerick Institute of Technology
555,Early Childhood Education and Care,LC401,297,nan,Limerick Institute of Technology
556,Social Care Work,LC402,225,nan,Limerick Institute of Technology
557,Environmental Science and Climate,LC408,279,nan,Limerick Institute of Technology
558,Data Analytics and Cyber Security,LC414,236,nan,Limerick Institute of Technology
559,Business,LC416,274,nan,Limerick Institute of Technology
560,Computing - Games Design and Development,LC418,270,nan,Limerick Institute of Technology
561,Sports Strength and Conditioning,LC422,298,nan,Limerick Institute of Technology
562,Environmental Science and Agriculture,LC434,297,nan,Limerick Institute of Technology
563,Game Art and Design (portfolio),LC502,852,nan,Limerick Institute of Technology
564,Creative Media and Design,LC517,234,nan,Limerick Institute of Technology
565,Digital Animation Production (portfolio),LC518,808,nan,Limerick Institute of Technology
566,Social Care Work,LC612,320,nan,Limerick Institute of Technology
567,Early Childhood Education and Care,LC613,242,nan,Limerick Institute of Technology
568,Arts,LM002,348,nan,University of Limerick
569,Law and Accounting,LM020,465,nan,University of Limerick
570,Performing Arts (audition required),LM026,303,nan,University of Limerick
571,Criminal Justice,LM028,418,nan,University of Limerick
572,Law Plus,LM029,490,nan,University of Limerick
573,Psychology and Sociology,LM038,500,nan,University of Limerick
574,Journalism and Digital Communication,LM039,402,nan,University of Limerick
575,European Studies,LM040,369,nan,University of Limerick
576,Applied Languages,LM044,442,nan,University of Limerick
577,Business Studies (options),LM050,431,nan,University of Limerick
578,International Business,LM056,528,nan,University of Limerick
579,Financial Mathematics,LM058,403,nan,University of Limerick
580,Technology Management,LM063,379,nan,University of Limerick
581,Food Science and Health,LM068,421,nan,University of Limerick
582,Product Design and Technology (portfolio required),LM076,408,nan,University of Limerick
583,Aeronautical Engineering,LM077,520,nan,University of Limerick
584,Construction Management and Engineering,LM082,398,nan,University of Limerick
585,Sport and Exercise Sciences,LM089,474,nan,University of Limerick
586,Physical Education with concurrent Teacher Education,LM090,532,nan,University of Limerick
587,Languages with concurrent Teacher Education,LM091,517,nan,University of Limerick
588,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),LM092,507,nan,University of Limerick
589,Equine Science,LM093,339,nan,University of Limerick
590,Materials and Architectural Technology with concurrent Teacher Education,LM094,440,nan,University of Limerick
591,Materials and Engineering Technology with concurrent Teacher Education,LM095,367,nan,University of Limerick
592,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),LM096,405,nan,University of Limerick
593,Mathematics and Computer Science with concurrent Teacher Education,LM097,402,nan,University of Limerick
594,Architecture (portfolio requirement suspended),LM099,498,nan,University of Limerick
595,Physiotherapy,LM100,589,nan,University of Limerick
596,Medicine  - Graduate Entry (GAMSAT required),LM101,55,nan,University of Limerick
597,Psychology,LM102,509,nan,University of Limerick
598,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),LM103,392,nan,University of Limerick
599,Chemical and Biochemical Engineering,LM115,454,nan,University of Limerick
600,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),LM116,476,nan,University of Limerick
601,Electronic and Computer Engineering,LM118,403,nan,University of Limerick
602,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),LM121,351,nan,University of Limerick
603,Creative Media and Interaction Design (Digital Design/Music Media Tech),LM122,327,nan,University of Limerick
604,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),LM123,441,nan,University of Limerick
605,Mathematics (Math Science/Maths and Physics/Economics and Maths),LM124,437,nan,University of Limerick
606,Physics (Applied Physics or Mathematics & Physics),LM125,404,nan,University of Limerick
607,General Nursing,LM150,475,nan,University of Limerick
608,Mental Health Nursing,LM152,419,nan,University of Limerick
609,Intellectual Disability Nursing,LM154,420,nan,University of Limerick
610,Midwifery,LM156,469,nan,University of Limerick
611,Business - Accounting,LY108,309,nan,Letterkenny Institute of Technology
612,Business,LY118,290,nan,Letterkenny Institute of Technology
613,Law,LY208,300,nan,Letterkenny Institute of Technology
614,Sports and Exercise - Common Entry,LY228,300,nan,Letterkenny Institute of Technology
615,Design - Common Entry,LY408,320,nan,Letterkenny Institute of Technology
616,Fire Safety Engineering,LY508,276,nan,Letterkenny Institute of Technology
617,Quantity Surveying,LY518,301,nan,Letterkenny Institute of Technology
618,Construction Management,LY528,271,nan,Letterkenny Institute of Technology
619,Mechanical Engineering,LY608,300,nan,Letterkenny Institute of Technology
620,Electronic Engineering,LY618,312,nan,Letterkenny Institute of Technology
621,Applied Computing,LY708,306,nan,Letterkenny Institute of Technology
622,Computer Science,LY748,317,317,Letterkenny Institute of Technology
623,Science - Common Entry,LY818,303,nan,Letterkenny Institute of Technology
624,Agriculture - Common Entry,LY828,307,nan,Letterkenny Institute of Technology
625,General Nursing,LY908,400,nan,Letterkenny Institute of Technology
626,Psychiatric Nursing,LY918,357,nan,Letterkenny Institute of Technology
627,Intellectual Disability Nursing,LY928,326,nan,Letterkenny Institute of Technology
628,"Early Childhood Care, Health and Education",LY968,303,nan,Letterkenny Institute of Technology
629,Health & Social Care - Common Entry,LY978,280,nan,Letterkenny Institute of Technology
630,Education - Primary Teaching (Froebel),MH001,507,nan,Maynooth University
631,Education - Primary Teaching - Gaeltacht Applicants (Froebel),MH002,nan,nan,Maynooth University
632,Arts,MH101,318,nan,Maynooth University
633,Music,MH103,,nan,Maynooth University
634,Psychology - 3 years,MH106,521,nan,Maynooth University
635,Social Science,MH107,346,nan,Maynooth University
636,Media Studies,MH109,316,nan,Maynooth University
637,Community and Youth Work (Full-Time),MH116,,nan,Maynooth University
638,Science,MH201,360,nan,Maynooth University
639,Biotechnology,MH202,455,nan,Maynooth University
640,Biological and Geographical Sciences,MH203,430,nan,Maynooth University
641,Physics with Astrophysics,MH204,422,nan,Maynooth University
642,Theoretical Physics and Mathematics,MH206,510,nan,Maynooth University
643,Data Science,MH207,445,nan,Maynooth University
644,Biological and Biomedical Sciences,MH208,498,nan,Maynooth University
645,Psychology (through Science) - 4 years,MH209,498,nan,Maynooth University
646,Pharmaceutical and Biomedical Chemistry,MH210,487,nan,Maynooth University
647,Science or Maths & Computer Science or Maths & Applied Maths (with Ed),MH212,422,nan,Maynooth University
648,Engineering (Computer/Electronic/Communications),MH304,333,333,Maynooth University
649,Product Design,MH305,357,nan,Maynooth University
650,Robotics and Intelligent Devices,MH306,361,nan,Maynooth University
651,Finance (options),MH401,357,nan,Maynooth University
652,Quantitative Finance,MH402,476,nan,Maynooth University
653,Accounting and Finance,MH403,422,nan,Maynooth University
654,Business (options),MH404,430,nan,Maynooth University
655,Equine Business,MH405,357,nan,Maynooth University
656,Business and Accounting,MH407,420,nan,Maynooth University
657,Entrepreneurship,MH411,371,nan,Maynooth University
658,LLB Law - four year Single Major Law programme,MH501,473,nan,Maynooth University
659,Law (options),MH502,451,nan,Maynooth University
660,Computer Science through Arts (options),MH601,352,nan,Maynooth University
661,Computer Science through Science (options),MH602,351,nan,Maynooth University
662,Computational Thinking,MH603,532,nan,Maynooth University
663,Early Childhood - Teaching and Learning (part-time),MH801,327,nan,Maynooth University
664,"Community and Youth Work (part-time, in service)",MH802,,,Maynooth University
665,"Local Studies/Community Studies (part-time, evening) - Mature Students",MH803,,,Maynooth University
666,Contemporary & Applied Theatre Studies,MI001,375,nan,Mary Immaculate College
667,Arts,MI002,300,281,Mary Immaculate College
668,Education - Primary Teaching - International,MI004,577,nan,Mary Immaculate College
669,Education - Primary Teaching,MI005,495,nan,Mary Immaculate College
670,Education - Primary Teaching - Gaeltacht Applicants,MI006,456,nan,Mary Immaculate College
671,Early Childhood Care and Education,MI007,357,nan,Mary Immaculate College
672,Education and Psychology - Primary Teaching,MI008,588,nan,Mary Immaculate College
673,"Education, Business Studies and Accounting",MI009,402,nan,Mary Immaculate College
674,"Education, Business Studies and Religious Studies",MI010,368,nan,Mary Immaculate College
675,"Education, Gaeilge and Religious Studies",MI011,409,nan,Mary Immaculate College
676,"Education, Gaeilge and Business Studies",MI012,401,nan,Mary Immaculate College
677,"Education, Mathematics and Gaeilge",MI013,444,nan,Mary Immaculate College
678,"Education, Mathematics and Business Studies",MI014,434,nan,Mary Immaculate College
679,Theology and Arts,MU001,290,290,"Pontifical University, St Patrick's College"
680,Theology,MU002,440,nan,"Pontifical University, St Patrick's College"
681,Computing (Degree Award options),NC003,260,nan,National College of Ireland (NCI)
682,Human Resource Management,NC005,300,nan,National College of Ireland (NCI)
683,Business,NC009,300,nan,National College of Ireland (NCI)
684,Psychology,NC010,400,nan,National College of Ireland (NCI)
685,Marketing Practice,NC020,280,nan,National College of Ireland (NCI)
686,Accounting and Finance,NC022,337,nan,National College of Ireland (NCI)
687,Technology Management (with specialisations),NC023,261,nan,National College of Ireland (NCI)
688,Montessori Education,NM801,220,nan,St Nicholas Montessori College Ireland
689,"Social, Political and Community Studies",PC405,253,216,"Carlow College, St. Patrick`s"
690,Arts and Humanities (fulfils Teaching Council requirements),PC410,252,209,"Carlow College, St. Patrick`s"
691,English and History (fulfils Teaching Council requirements),PC411,255,209,"Carlow College, St. Patrick`s"
692,Medicine - Undergraduate Entry (HPAT required),RC001,733,nan,RCSI University of Medicine & Health Sciences
693,Physiotherapy,RC004,566,nan,RCSI University of Medicine & Health Sciences
694,Pharmacy,RC005,579,nan,RCSI University of Medicine & Health Sciences
695,Medicine - Graduate Entry (GAMSAT required),RC101,nan,nan,RCSI University of Medicine & Health Sciences
696,Business,SG141,261,nan,"Institute of Technology, Sligo"
697,Business in International Marketing and Languages (French),SG142,279,nan,"Institute of Technology, Sligo"
698,Business in International Marketing and Languages (Spanish),SG144,270,nan,"Institute of Technology, Sligo"
699,Accounting,SG146,309,nan,"Institute of Technology, Sligo"
700,Sport with Business,SG147,307,nan,"Institute of Technology, Sligo"
701,Tourism with Event Management,SG148,269,nan,"Institute of Technology, Sligo"
702,Performing Arts,SG241,328,nan,"Institute of Technology, Sligo"
703,Early Childhood Care and Education,SG242,279,nan,"Institute of Technology, Sligo"
704,Social Care Practice,SG243,301,nan,"Institute of Technology, Sligo"
705,Fine Art,SG244,505,nan,"Institute of Technology, Sligo"
706,Creative Design,SG245,282,nan,"Institute of Technology, Sligo"
707,Computing,SG246,290,nan,"Institute of Technology, Sligo"
708,English and Psychology,SG247,309,nan,"Institute of Technology, Sligo"
709,Sociology and Politics,SG248,281,nan,"Institute of Technology, Sligo"
710,Writing and Literature,SG249,297,nan,"Institute of Technology, Sligo"
711,Application Design and User Experience,SG250,412,nan,"Institute of Technology, Sligo"
712,Computing (Smart Technologies),SG251,327,nan,"Institute of Technology, Sligo"
713,Software Development,SG252,307,nan,"Institute of Technology, Sligo"
714,Computer Networks and Cloud Infrastructure,SG253,324,nan,"Institute of Technology, Sligo"
715,Writing and Literature Online,SG254,225,225,"Institute of Technology, Sligo"
716,Civil Engineering,SG342,415,nan,"Institute of Technology, Sligo"
717,Quantity Surveying,SG343,311,nan,"Institute of Technology, Sligo"
718,Construction Project Management and Applied Technology,SG346,291,nan,"Institute of Technology, Sligo"
719,Architecture,SG347,360,nan,"Institute of Technology, Sligo"
720,Interior Architecture and Design,SG348,316,nan,"Institute of Technology, Sligo"
721,Occupational Safety and Health,SG442,290,nan,"Institute of Technology, Sligo"
722,Human Nutrition,SG443,356,nan,"Institute of Technology, Sligo"
723,Science Undenominated,SG444,338,nan,"Institute of Technology, Sligo"
724,Pharmaceutical Science with Drug Development,SG445,311,nan,"Institute of Technology, Sligo"
725,Health Science and Physical Activity,SG447,328,nan,"Institute of Technology, Sligo"
726,Forensic Investigation and Analysis,SG448,306,nan,"Institute of Technology, Sligo"
727,Medical Biotechnology,SG449,341,nan,"Institute of Technology, Sligo"
728,Environmental Science with Ecology (Level 8),SG450,300,nan,"Institute of Technology, Sligo"
729,"Animation, Visual Effects and Motion Design (Level 8)",TL801,281,nan,"Institute of Technology, Tralee"
730,"TV, Radio and New Media (Level 8)",TL802,325,nan,"Institute of Technology, Tralee"
731,Computing with Software Development,TL810,310,nan,"Institute of Technology, Tralee"
732,Computing with Games Development,TL811,358,nan,"Institute of Technology, Tralee"
733,Computing (Degree Award options),TL815,308,nan,"Institute of Technology, Tralee"
734,Event Management (3 year programme),TL823,299,nan,"Institute of Technology, Tralee"
735,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),TL831,306,nan,"Institute of Technology, Tralee"
736,Agricultural Engineering,TL844,300,nan,"Institute of Technology, Tralee"
737,Civil Engineering,TL845,325,nan,"Institute of Technology, Tralee"
738,Manufacturing Engineering,TL847,302,nan,"Institute of Technology, Tralee"
739,Agricultural Science,TL848,308,nan,"Institute of Technology, Tralee"
740,Wildlife Biology (Degree Award options),TL851,309,nan,"Institute of Technology, Tralee"
741,Pharmaceutical Science (Degree Award options),TL855,317,nan,"Institute of Technology, Tralee"
742,Veterinary Bioscience,TL858,308,nan,"Institute of Technology, Tralee"
743,Health and Leisure (Degree Award options),TL871,300,nan,"Institute of Technology, Tralee"
744,Health and Leisure with Massage,TL872,309,nan,"Institute of Technology, Tralee"
745,Coaching and Sports Performance,TL873,289,nan,"Institute of Technology, Tralee"
746,Early Childhood Care and Education,TL880,307,nan,"Institute of Technology, Tralee"
747,Social Care,TL881,308,nan,"Institute of Technology, Tralee"
748,Counselling with Addiction - Mature applicants only,TL889,nan,nan,"Institute of Technology, Tralee"
749,General Nursing and Mature Applicants,TL890,440,414,"Institute of Technology, Tralee"
750,Mental Health Nursing and Mature Applicants,TL891,389,378,"Institute of Technology, Tralee"
751,Music,TR002,435,429,Trinity College Dublin
752,History,TR003,497,493,Trinity College Dublin
753,Law,TR004,566,565,Trinity College Dublin
754,Philosophy,TR005,442,nan,Trinity College Dublin
755,Psychology,TR006,567,555,Trinity College Dublin
756,Clinical Speech and Language Studies,TR007,529,nan,Trinity College Dublin
757,Music Education,TR009,420,nan,Trinity College Dublin
758,History and Political Science,TR012,555,554,Trinity College Dublin
759,"Philosophy, Political Science, Economics and Sociology",TR015,589,nan,Trinity College Dublin
760,Deaf Studies,TR016,340,nan,Trinity College Dublin
761,Law and Business,TR017,602,nan,Trinity College Dublin
762,Law and French,TR018,565,nan,Trinity College Dublin
763,Law and German,TR019,543,542,Trinity College Dublin
764,Law and Political Science,TR020,602,nan,Trinity College Dublin
765,"Classics, Ancient History and Archaeology",TR021,370,nan,Trinity College Dublin
766,Early and Modern Irish,TR022,398,nan,Trinity College Dublin
767,English Studies,TR023,487,476,Trinity College Dublin
768,European Studies,TR024,544,542,Trinity College Dublin
769,Drama and Theatre Studies,TR025,564,530,Trinity College Dublin
770,Ancient and Medieval History and Culture,TR028,342,nan,Trinity College Dublin
771,Political Science and Geography,TR029,526,520,Trinity College Dublin
772,Mathematics,TR031,531,nan,Trinity College Dublin
773,Engineering,TR032,510,509,Trinity College Dublin
774,Computer Science,TR033,509,nan,Trinity College Dublin
775,Management Science and Information Systems Studies,TR034,613,nan,Trinity College Dublin
776,Theoretical Physics,TR035,543,nan,Trinity College Dublin
777,Engineering with Management,TR038,532,nan,Trinity College Dublin
778,Computer Science and Language,TR039,454,424,Trinity College Dublin
779,Middle Eastern and European Languages and Cultures,TR040,466,nan,Trinity College Dublin
780,Religion,TR041,368,nan,Trinity College Dublin
781,Film,TR042,489,476,Trinity College Dublin
782,History of Art and Architecture,TR043,393,354,Trinity College Dublin
783,Medicine (HPAT required),TR051,735,734,Trinity College Dublin
784,Dental Science,TR052,613,613,Trinity College Dublin
785,Physiotherapy,TR053,566,566,Trinity College Dublin
786,Occupational Therapy,TR054,533,nan,Trinity College Dublin
787,Radiation Therapy,TR055,543,nan,Trinity College Dublin
788,Human Health and Disease,TR056,565,nan,Trinity College Dublin
789,Biological and Biomedical Sciences,TR060,543,543,Trinity College Dublin
790,Chemical Sciences,TR061,517,510,Trinity College Dublin
791,Geography and Geoscience,TR062,473,nan,Trinity College Dublin
792,Physical Sciences,TR063,498,498,Trinity College Dublin
793,Pharmacy,TR072,590,nan,Trinity College Dublin
794,Global Business,TR080,589,nan,Trinity College Dublin
795,"Business, Economic and Social Studies (BESS)",TR081,543,543,Trinity College Dublin
796,Computer Science and Business,TR082,555,nan,Trinity College Dublin
797,Sociology and Social Policy,TR083,498,487,Trinity College Dublin
798,Social Studies (Social Work),TR084,462,nan,Trinity College Dublin
799,Business Studies and French,TR085,540,531,Trinity College Dublin
800,Business Studies and German,TR086,509,499,Trinity College Dublin
801,Business Studies and Russian,TR087,474,465,Trinity College Dublin
802,Business Studies and Polish,TR089,444,424,Trinity College Dublin
803,Business Studies and Spanish,TR090,531,nan,Trinity College Dublin
804,General Nursing (Meath and St James`s),TR091,429,nan,Trinity College Dublin
805,General Nursing (Adelaide School of Nursing),TR093,430,429,Trinity College Dublin
