,title,code,pointsR1,pointsR2
616,Fire Safety Engineering,LY508,276,nan
617,Quantity Surveying,LY518,301,nan
618,Construction Management,LY528,271,nan
619,Mechanical Engineering,LY608,300,nan
620,Electronic Engineering,LY618,312,nan
621,Applied Computing,LY708,306,nan
622,Computer Science,LY748,317,317
623,Science - Common Entry,LY818,303,nan
624,Agriculture - Common Entry,LY828,307,nan
625,General Nursing,LY908,400,nan
626,Psychiatric Nursing,LY918,357,nan
627,Intellectual Disability Nursing,LY928,326,nan
628,"Early Childhood Care, Health and Education",LY968,303,nan
629,Health & Social Care - Common Entry,LY978,280,nan
630,Education - Primary Teaching (Froebel),MH001,507,nan
631,Education - Primary Teaching - Gaeltacht Applicants (Froebel),MH002,nan,nan
632,Arts,MH101,318,nan
633,Music,MH103,,nan
634,Psychology - 3 years,MH106,521,nan
635,Social Science,MH107,346,nan
636,Media Studies,MH109,316,nan
637,Community and Youth Work (Full-Time),MH116,,nan
638,Science,MH201,360,nan
639,Biotechnology,MH202,455,nan
640,Biological and Geographical Sciences,MH203,430,nan
641,Physics with Astrophysics,MH204,422,nan
642,Theoretical Physics and Mathematics,MH206,510,nan
643,Data Science,MH207,445,nan
644,Biological and Biomedical Sciences,MH208,498,nan
645,Psychology (through Science) - 4 years,MH209,498,nan
646,Pharmaceutical and Biomedical Chemistry,MH210,487,nan
647,Science or Maths & Computer Science or Maths & Applied Maths (with Ed),MH212,422,nan
648,Engineering (Computer/Electronic/Communications),MH304,333,333
649,Product Design,MH305,357,nan
650,Robotics and Intelligent Devices,MH306,361,nan
651,Finance (options),MH401,357,nan
652,Quantitative Finance,MH402,476,nan
653,Accounting and Finance,MH403,422,nan
654,Business (options),MH404,430,nan
655,Equine Business,MH405,357,nan
656,Business and Accounting,MH407,420,nan
657,Entrepreneurship,MH411,371,nan
658,LLB Law - four year Single Major Law programme,MH501,473,nan
659,Law (options),MH502,451,nan
660,Computer Science through Arts (options),MH601,352,nan
661,Computer Science through Science (options),MH602,351,nan
662,Computational Thinking,MH603,532,nan
663,Early Childhood - Teaching and Learning (part-time),MH801,327,nan
664,"Community and Youth Work (part-time, in service)",MH802,,
665,"Local Studies/Community Studies (part-time, evening) - Mature Students",MH803,,
666,Contemporary & Applied Theatre Studies,MI001,375,nan
667,Arts,MI002,300,281
668,Education - Primary Teaching - International,MI004,577,nan
669,Education - Primary Teaching,MI005,495,nan
670,Education - Primary Teaching - Gaeltacht Applicants,MI006,456,nan
671,Early Childhood Care and Education,MI007,357,nan
672,Education and Psychology - Primary Teaching,MI008,588,nan
673,"Education, Business Studies and Accounting",MI009,402,nan
674,"Education, Business Studies and Religious Studies",MI010,368,nan
675,"Education, Gaeilge and Religious Studies",MI011,409,nan
676,"Education, Gaeilge and Business Studies",MI012,401,nan
677,"Education, Mathematics and Gaeilge",MI013,444,nan
678,"Education, Mathematics and Business Studies",MI014,434,nan
679,Theology and Arts,MU001,290,290
680,Theology,MU002,440,nan
681,Computing (Degree Award options),NC003,260,nan
682,Human Resource Management,NC005,300,nan
683,Business,NC009,300,nan
684,Psychology,NC010,400,nan
685,Marketing Practice,NC020,280,nan
686,Accounting and Finance,NC022,337,nan
687,Technology Management (with specialisations),NC023,261,nan
688,Montessori Education,NM801,220,nan
689,"Social, Political and Community Studies",PC405,253,216
690,Arts and Humanities (fulfils Teaching Council requirements),PC410,252,209
691,English and History (fulfils Teaching Council requirements),PC411,255,209
692,Medicine - Undergraduate Entry (HPAT required),RC001,733,nan
693,Physiotherapy,RC004,566,nan
694,Pharmacy,RC005,579,nan
695,Medicine - Graduate Entry (GAMSAT required),RC101,nan,nan
696,Business,SG141,261,nan
697,Business in International Marketing and Languages (French),SG142,279,nan
698,Business in International Marketing and Languages (Spanish),SG144,270,nan
699,Accounting,SG146,309,nan
700,Sport with Business,SG147,307,nan
701,Tourism with Event Management,SG148,269,nan
702,Performing Arts,SG241,328,nan
703,Early Childhood Care and Education,SG242,279,nan
704,Social Care Practice,SG243,301,nan
705,Fine Art,SG244,505,nan
706,Creative Design,SG245,282,nan
707,Computing,SG246,290,nan
708,English and Psychology,SG247,309,nan
709,Sociology and Politics,SG248,281,nan
710,Writing and Literature,SG249,297,nan
711,Application Design and User Experience,SG250,412,nan
712,Computing (Smart Technologies),SG251,327,nan
713,Software Development,SG252,307,nan
714,Computer Networks and Cloud Infrastructure,SG253,324,nan
715,Writing and Literature Online,SG254,225,225
716,Civil Engineering,SG342,415,nan
717,Quantity Surveying,SG343,311,nan
718,Construction Project Management and Applied Technology,SG346,291,nan
719,Architecture,SG347,360,nan
720,Interior Architecture and Design,SG348,316,nan
721,Occupational Safety and Health,SG442,290,nan
722,Human Nutrition,SG443,356,nan
723,Science Undenominated,SG444,338,nan
724,Pharmaceutical Science with Drug Development,SG445,311,nan
725,Health Science and Physical Activity,SG447,328,nan
726,Forensic Investigation and Analysis,SG448,306,nan
727,Medical Biotechnology,SG449,341,nan
728,Environmental Science with Ecology (Level 8),SG450,300,nan
729,"Animation, Visual Effects and Motion Design (Level 8)",TL801,281,nan
730,"TV, Radio and New Media (Level 8)",TL802,325,nan
731,Computing with Software Development,TL810,310,nan
732,Computing with Games Development,TL811,358,nan
733,Computing (Degree Award options),TL815,308,nan
734,Event Management (3 year programme),TL823,299,nan
735,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),TL831,306,nan
736,Agricultural Engineering,TL844,300,nan
737,Civil Engineering,TL845,325,nan
738,Manufacturing Engineering,TL847,302,nan
739,Agricultural Science,TL848,308,nan
740,Wildlife Biology (Degree Award options),TL851,309,nan
741,Pharmaceutical Science (Degree Award options),TL855,317,nan
742,Veterinary Bioscience,TL858,308,nan
743,Health and Leisure (Degree Award options),TL871,300,nan
744,Health and Leisure with Massage,TL872,309,nan
745,Coaching and Sports Performance,TL873,289,nan
746,Early Childhood Care and Education,TL880,307,nan
747,Social Care,TL881,308,nan
748,Counselling with Addiction - Mature applicants only,TL889,nan,nan
749,General Nursing and Mature Applicants,TL890,440,414
750,Mental Health Nursing and Mature Applicants,TL891,389,378
751,Music,TR002,435,429
752,History,TR003,497,493
753,Law,TR004,566,565
754,Philosophy,TR005,442,nan
755,Psychology,TR006,567,555
756,Clinical Speech and Language Studies,TR007,529,nan
757,Music Education,TR009,420,nan
758,History and Political Science,TR012,555,554
759,"Philosophy, Political Science, Economics and Sociology",TR015,589,nan
760,Deaf Studies,TR016,340,nan
761,Law and Business,TR017,602,nan
762,Law and French,TR018,565,nan
763,Law and German,TR019,543,542
764,Law and Political Science,TR020,602,nan
765,"Classics, Ancient History and Archaeology",TR021,370,nan
766,Early and Modern Irish,TR022,398,nan
767,English Studies,TR023,487,476
768,European Studies,TR024,544,542
769,Drama and Theatre Studies,TR025,564,530
770,Ancient and Medieval History and Culture,TR028,342,nan
771,Political Science and Geography,TR029,526,520
772,Mathematics,TR031,531,nan
773,Engineering,TR032,510,509
774,Computer Science,TR033,509,nan
775,Management Science and Information Systems Studies,TR034,613,nan
776,Theoretical Physics,TR035,543,nan
777,Engineering with Management,TR038,532,nan
778,Computer Science and Language,TR039,454,424
779,Middle Eastern and European Languages and Cultures,TR040,466,nan
780,Religion,TR041,368,nan
781,Film,TR042,489,476
782,History of Art and Architecture,TR043,393,354
783,Medicine (HPAT required),TR051,735,734
784,Dental Science,TR052,613,613
785,Physiotherapy,TR053,566,566
786,Occupational Therapy,TR054,533,nan
787,Radiation Therapy,TR055,543,nan
788,Human Health and Disease,TR056,565,nan
789,Biological and Biomedical Sciences,TR060,543,543
790,Chemical Sciences,TR061,517,510
791,Geography and Geoscience,TR062,473,nan
792,Physical Sciences,TR063,498,498
793,Pharmacy,TR072,590,nan
794,Global Business,TR080,589,nan
795,"Business, Economic and Social Studies (BESS)",TR081,543,543
796,Computer Science and Business,TR082,555,nan
797,Sociology and Social Policy,TR083,498,487
798,Social Studies (Social Work),TR084,462,nan
799,Business Studies and French,TR085,540,531
800,Business Studies and German,TR086,509,499
801,Business Studies and Russian,TR087,474,465
802,Business Studies and Polish,TR089,444,424
803,Business Studies and Spanish,TR090,531,nan
804,General Nursing (Meath and St James`s),TR091,429,nan
805,General Nursing (Adelaide School of Nursing),TR093,430,429
806,Mental Health Nursing,TR095,408,nan
807,Intellectual Disability Nursing,TR097,396,nan
808,Ancient History and Archaeology/Geography,TR111,352,nan
809,Ancient History and Archaeology/History,TR112,529,nan
810,Ancient History and Archaeology/History of Art and Architecture,TR113,337,nan
811,Ancient History and Archaeology/Modern Language,TR114,337,nan
812,Ancient History and Archaeology/Religion,TR117,342,nan
813,Classical Civilisation/English Literature,TR166,498,496
814,Classical Civilisation/History of Art and Architecture,TR173,335,nan
815,Classical Civilisation/Modern Language,TR177,335,nan
816,Classical Civilisation/Philosophy,TR179,499,nan
817,Economics/Geography,TR198,534,nan
818,Economics/History,TR202,534,nan
819,Economics/Mathematics,TR207,566,nan
820,Economics/Modern Language,TR208,534,nan
821,Economics/Philosophy,TR209,534,nan
822,Economics/Sociology,TR212,534,nan
823,Classical Languages/English Literature,TR228,498,nan
824,Classical Languages/History of Art and Architecture,TR231,349,nan
825,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",TR233,349,nan
826,Classical Languages/Modern Language,TR239,349,nan
827,English Literature/History,TR262,529,nan
828,English Literature/History of Art and Architecture,TR263,498,497
829,English Literature/Philosophy,TR269,499,nan
830,English Literature/Sociology,TR272,498,nan
831,English Literature/Drama Studies,TR276,498,nan
832,English Literature/Modern Language,TR277,498,495
833,Film/Drama Studies,TR311,521,nan
834,Film/English Literature,TR312,521,nan
835,Film/Music,TR320,521,nan
836,Geography/History,TR322,529,nan
837,Drama Studies/Modern Language,TR323,473,nan
838,Film/Modern Language,TR324,521,nan
839,Film/History,TR325,529,nan
840,Geography/Modern Language,TR326,352,nan
841,Geography/Sociology,TR332,498,496
842,History/History of Art and Architecture,TR443,529,nan
843,History/Modern Language,TR447,529,nan
844,History/Philosophy,TR449,529,nan
845,History/Sociology,TR452,529,nan
846,History/Religion,TR454,529,nan
847,History of Art and Architecture/Modern Language,TR455,334,nan
848,History of Art and Architecture/Philosophy,TR479,499,nan
849,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",TR547,337,nan
850,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",TR548,335,nan
851,"Middle Eastern,Jewish and Islamic Civilisations/History",TR554,529,nan
852,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",TR563,335,nan
853,"Middle Eastern,Jewish and Islamic Civilisations/Music",TR564,nan,nan
854,"Middle Eastern,Jewish and Islamic Civilisations/Religion",TR565,342,nan
855,Mathematics/Modern Language,TR597,566,nan
856,Mathematics/Music,TR598,566,nan
857,Mathematics/Philosophy,TR599,566,nan
858,Music/Philosophy,TR629,499,nan
859,Music/Drama Studies,TR635,473,nan
860,Music/Modern Language,TR636,388,nan
861,Music/Religion,TR638,388,nan
862,Philosophy/Modern Language,TR639,499,nan
863,Philosophy/Sociology,TR662,499,nan
864,Religion/Classical Civilisation,TR663,342,nan
865,Religion/English Literature,TR664,498,nan
866,Religion/History of Art and Architecture,TR665,342,nan
867,Religion/Modern Language,TR666,nan,nan
868,French/Modern Language,TR667,403,nan
869,German/Modern Language,TR668,389,nan
870,Irish/Modern Language,TR669,368,nan
871,Italian/Modern Language,TR670,381,nan
872,Russian/Modern Language,TR671,332,nan
873,Spanish/Modern Language,TR672,336,nan
874,Sociology/Drama Studies,TR755,498,nan
875,Sociology/Modern Language,TR756,498,495
876,Children`s and General Nursing (Integrated),TR911,511,510
877,Midwifery,TR913,478,477
878,Biomedical Design,TU801,235,nan
879,Electrical Services and Energy Management,TU802,317,300
880,Electronic Engineering,TU803,243,243
881,Engineering (Common Entry with Award options),TU804,271,nan
882,Engineering (General Entry),TU805,402,nan
883,Sustainable Energy Engineering,TU806,262,nan
884,Computer Engineering in Mobile Systems,TU807,276,nan
885,Engineering Software,TU808,260,260
886,Mechanical Engineering,TU809,235,nan
887,Mechatronic Engineering,TU810,270,nan
888,Product Design,TU811,411,nan
889,"Design,Technology and Innovation",TU812,270,nan
890,Automation Engineering,TU813,218,218
891,Transport Operations and Technology,TU814,285,251
892,Architectural Technology,TU831,410,nan
893,Architecture (Suitability Test and Interview),TU832,622,nan
894,Construction Management,TU833,367,nan
895,Geographic Science,TU834,288,nan
896,Planning and Environmental Management,TU835,313,nan
897,Property Economics (Valuation Surveying),TU836,401,nan
898,Quantity Surveying and Construction Economics,TU837,385,nan
899,Analytical Chemistry (Environmental Forensic and Pharmaceutical),TU851,349,nan
900,Chemical Sciences with Medicinal Chemistry,TU852,476,nan
901,Science (General Entry),TU854,476,nan
902,Science with Nanotechnology,TU855,331,319
903,Computer Science,TU856,476,nan
904,Computer Science (Infrastructure),TU857,391,nan
905,Computer Science (International),TU858,377,nan
906,Computing,TU859,217,234
907,Computing (Information Technology),TU860,260,nan
908,Computing with Language (French/German/Spanish),TU861,308,308
909,Computing with Data Analytics,TU862,226,226
910,Digital Forensics and Cyber Security,TU863,280,nan
911,DNA and Forensic Analysis,TU864,400,390
912,Computing with IT Management,TU865,226,nan
913,Biomedical and Molecular Diagnostics,TU866,487,nan
914,Biomedical Science,TU867,524,nan
915,Clinical Measurement Science,TU868,510,nan
916,Environmental Health,TU869,336,nan
917,Human Nutrition and Dietetics,TU870,578,nan
918,Optometry,TU871,509,nan
919,Public Health Nutrition,TU872,491,nan
920,Industrial Mathematics,TU873,250,250
921,Mathematical Sciences,TU874,341,nan
922,Pharmaceutical Healthcare,TU875,400,nan
923,Pharmaceutical Science,TU876,377,349
924,Physics Technology,TU877,308,nan
925,Physics with Energy and Environment,TU878,337,337
926,Physics with Medical Physics and Bioengineering,TU879,351,nan
927,Physics with Data Science,TU880,578,nan
928,Food Innovation,TU881,318,nan
929,Nutraceuticals in Health and Nutrition,TU882,397,nan
930,Business,TU901,270,nan
931,Business (Common Entry with Award options),TU902,271,nan
932,Business and Management,TU903,463,nan
933,Business and Law,TU904,462,nan
934,Economics and Finance,TU905,465,nan
935,Human Resource Management,TU906,395,nan
936,Logistics and Supply Chain Management,TU907,300,nan
937,Management,TU908,262,253
938,Accounting and Finance,TU909,285,nan
939,Accounting and Finance,TU910,444,nan
940,Accounting and Finance,TU911,209,192
941,Business Analytics,TU912,330,nan
942,Business and Information Technology,TU913,252,nan
943,Business Computing,TU914,324,nan
944,International Business,TU915,252,nan
945,International Business,TU916,235,235
946,Law (LLB ) with a Language,TU917,342,nan
947,Law (LLB),TU918,451,nan
948,Advertising and Marketing Communications,TU919,228,226
949,Digital Marketing,TU920,270,nan
950,Digital Marketing Technologies,TU921,212,212
951,Marketing,TU922,418,nan
952,Marketing Management,TU923,228,276
953,E-Commerce in Retailing,TU924,307,nan
954,Retail and Services Management,TU925,301,nan
955,Sports Management and Coaching,TU935,300,nan
956,Sports Science and Health,TU936,410,391
957,Botanical Cuisine,TU941,249,nan
958,Culinary Arts,TU942,212,212
959,Culinary Entrepreneurship,TU943,278,nan
960,Culinary Science,TU944,316,nan
961,International Hospitality and Tourism Management,TU951,184,184
962,International Hospitality Management,TU952,300,nan
963,Tourism and Digital Marketing,TU953,290,nan
964,Event Management,TU954,356,nan
965,Sports & Leisure Management,TU955,217,317
966,Commercial Modern Music,TU961,608,608
967,Drama (Performance),TU962,379,nan
968,Music,TU963,416,nan
969,International Business and Languages,TU965,356,346
970,Languages and English Studies,TU966,366,nan
971,Languages and International Tourism,TU967,308,nan
972,Contemporary Visual Culture,TU971,290,nan
973,Creative and Cultural Industries,TU972,281,nan
974,Design - Visual Communication,TU973,717,nan
975,Fine Art,TU974,709,563
976,Interior Design,TU975,632,nan
977,Photography,TU976,695,nan
978,Creative Digital Media,TU981,280,nan
979,Creative Digital Media,TU982,320,311
980,Film and Broadcasting,TU983,456,451
981,Game Design,TU984,381,nan
982,Journalism,TU985,322,nan
983,Print Media Technology and Management,TU986,289,nan
984,Applied Social Studies in Social Care,TU991,325,nan
985,Community and Youth Development,TU992,251,nan
986,Early Childhood Care and Education,TU993,270,nan
987,Early Childhood Care and Education,TU994,321,251
988,Early Childhood Education,TU995,367,nan
989,Social Care,TU996,400,nan
990,Applied Social Care,TU997,310,283
991,Applied Computing (options),WD001,260,260
992,Science (options),WD002,308,nan
993,Health Sciences (options),WD005,280,nan
994,Exercise Sciences (options),WD006,280,nan
995,Engineering (options),WD007,288,288
996,Construction Management and Engineering,WD025,269,nan
997,Music,WD027,262,nan
998,Business (options),WD048,271,nan
999,Accounting,WD084,308,nan
1000,Hospitality Management,WD091,228,nan
1001,General Nursing,WD116,422,nan
1002,Psychiatric Nursing,WD117,366,nan
1003,Intellectual Disability Nursing,WD120,377,nan
1004,International Business,WD134,290,nan
1005,Design (Visual Communications),WD137,271,nan
1006,Laws,WD140,280,nan
1007,Architecture,WD144,284,nan
1008,Pharmaceutical Science,WD147,293,nan
1009,Early Childhood Studies,WD149,271,nan
1010,Criminal Justice Studies,WD150,270,nan
1011,Visual Art,WD152,AQA,nan
1012,Computer Forensics and Security,WD161,255,nan
1013,Quantity Surveying,WD162,216,nan
1014,Psychology,WD163,434,nan
1015,Sports Coaching and Performance,WD186,270,nan
1016,Social Science,WD187,272,nan
1017,Agricultural Science,WD191,377,nan
1018,Social Care Practice,WD192,270,nan
1019,Marketing and Digital Media,WD193,271,nan
1020,Culinary Arts,WD194,217,nan
1021,Architectural and Building Information Modelling Technology,WD195,279,nan
1022,Arts (options),WD200,AQA,AQA
1023,Software Systems Development,WD210,279,nan
1024,Creative Computing,WD211,271,nan
1025,Recreation and Sport Management,WD212,270,nan
1026,Mechanical and Manufacturing Engineering,WD230,253,nan
