,title,code,pointsR1,pointsR2
131,Popular Music: Keyboards at CIT Cork School of Music,CR128,840,nan
132,Popular Music: Voice at CIT Cork School of Music,CR129,841,nan
133,Musical Theatre at CIT Cork School of Music,CR130,548,518
134,Business Information Systems,CR150,335,nan
135,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR210,,nan
136,Fine Art at CIT Crawford College of Art and Design,CR220,,nan
137,Photography with New Media,CR225,,nan
138,Physical Sciences (Common Entry),CR305,282,nan
139,IT Management,CR310,297,nan
140,Biomedical Science - Offered jointly by CIT and UCC,CR320,565,nan
141,Pharmaceutical Biotechnology,CR325,398,nan
142,Nutrition and Health Science,CR333,402,nan
143,Biological Sciences (Common Entry),CR335,420,nan
144,Analytical Chemistry with Quality Assurance,CR340,251,nan
145,Instrument Engineering,CR360,261,nan
146,Environmental Science and Sustainable Technology,CR365,253,nan
147,Agri-Biosciences,CR370,397,nan
148,Accounting,CR400,316,nan
149,Marketing,CR420,285,nan
150,International Business with Language,CR425,298,nan
151,Sport and Exercise Management,CR430,322,nan
152,Montessori Education,CR440,288,nan
153,Engineering (Common Entry),CR500,411,nan
154,Sustainable Energy Engineering,CR510,320,nan
155,Biomedical Engineering,CR520,444,nan
156,Architectural Technology,CR560,308,nan
157,Interior Architecture,CR565,359,nan
158,Quantity Surveying,CR570,336,nan
159,Construction Management,CR572,269,nan
160,Electrical Engineering,CR580,318,nan
161,Electronic Engineering,CR590,303,nan
162,Visual Communications,CR600,,nan
163,Tourism Management,CR660,252,nan
164,Theatre and Drama Studies at CIT Cork School of Music,CR700,740,645
165,Information Technology,CT125,220,nan
166,Business,CT325,338,nan
167,Business (options),CW018,298,248
168,Early Childhood Education and Care,CW028,252,nan
169,Art (portfolio),CW038,700,nan
170,Tourism and Event Management,CW058,298,nan
171,Applied Social Studies in Professional Social Care,CW068,245,nan
172,Sustainable Farm Management and Agribusiness,CW078,269,nan
173,Visual Communications and Design,CW088,274,nan
174,Science (options),CW108,261,nan
175,Brewing and Distilling,CW128,263,nan
176,Sport and Exercise Science,CW138,423,nan
177,Strength and Conditioning,CW148,379,nan
178,Sport Rehabilitation and Athletic Therapy,CW188,451,448
179,Computer Games Development,CW208,279,nan
180,Software Development,CW238,297,nan
181,Information Technology Management,CW248,285,nan
182,Cybercrime and IT Security,CW258,293,nan
183,Computing in Interactive Digital Art and Design,CW268,287,nan
184,Construction (options),CW438,272,nan
185,Architectural Technology,CW468,262,nan
186,Civil Engineering,CW478,433,nan
187,Mechanical Engineering,CW548,321,nan
188,Electronic Systems,CW558,280,nan
189,Aerospace Engineering,CW568,380,nan
190,TV and Media Production,CW578,325,nan
191,Law - LLB,CW708,302,nan
192,Product Design Innovation,CW728,252,nan
193,Early Childhood Education and Care,CW748,270,nan
194,Professional Social Care Practice,CW758,336,nan
195,Media and Public Relations,CW808,251,nan
196,Digital Marketing with Analytics,CW848,254,nan
197,"Sports Management and Coaching (options, portfolio)",CW858,700,nan
198,Business (options),CW908,280,nan
199,Business with Law,CW938,283,nan
200,Accounting,CW948,300,nan
201,Computing,DB500,218,218
202,Computing (Cloud Computing),DB501,227,227
203,Computing (Data Analytics and Big Data),DB502,341,341
204,Computing (Software Development),DB503,225,225
205,Computing (Web and Mobile Technology),DB504,nan,281
206,Audio Production and Music Project Management,DB510,234,223
207,Business Studies,DB512,218,203
208,Business Studies (Law),DB514,252,nan
209,Business Studies (Human Resource Management),DB515,244,244
210,Financial Services,DB516,nan,nan
211,Marketing (Event Management),DB517,238,nan
212,Accounting and Finance,DB521,225,195
213,Business (Information Systems),DB524,342,309
214,Business (Cloud Computing),DB526,347,nan
215,Applied Social Care,DB527,234,260
216,Marketing,DB531,293,nan
217,Psychology,DB562,243,229
218,Social Science,DB566,220,227
219,Film and Creative Media,DB567,218,202
220,Law,DB568,219,252
221,Business (Psychology),DB569,252,nan
222,Education - Early Childhood Education,DC001,440,nan
223,Education - Primary Teaching,DC002,488,nan
224,Education - Primary Teaching - Gaeltacht Applicants,DC003,445,nan
225,Education - Primary Teaching (Church of Ireland Centre formerly CICE),DC004,411,409
226,Arts (Joint Honours) - Humanities,DC009,376,nan
227,Post Primary Teacher Education - Religious Education and English,DC010,441,429
228,Post Primary Teacher Education - Religious Education and History,DC011,412,391
229,Post Primary Teacher Education - Religious Education and Music,DC012,378,nan
230,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,DC013,419,nan
231,BA in Jazz and Contemporary Music Performance (audition),DC014,419,nan
232,Business Studies International,DC110,465,nan
233,Business Studies,DC111,488,nan
234,Global Business (France),DC112,517,510
235,Global Business (Germany),DC113,462,nan
236,Global Business (Spain),DC114,522,nan
237,Accounting and Finance,DC115,510,nan
238,Global Business (USA),DC116,579,nan
239,Aviation Management / Aviation Management with Pilot Studies,DC117,476,475
240,Gnó agus Gaeilge / Business and Irish,DC118,359,nan
241,Global Business (Canada),DC119,564,nan
242,Enterprise Computing,DC120,357,nan
243,Computer Applications,DC121,400,nan
244,Data Science,DC123,465,nan
245,Actuarial Mathematics,DC126,560,nan
246,Common Entry into Actuarial and Financial Mathematics,DC127,532,520
247,Communication Studies,DC131,407,402
248,Journalism,DC132,429,422
249,Multimedia,DC133,411,410
250,Applied Language and Translation Studies,DC155,387,nan
251,Analytical Science,DC161,498,489
252,Chemical and Pharmaceutical Sciences,DC162,521,nan
253,Environmental Science and Technology,DC166,433,399
254,Genetics and Cell Biology,DC168,512,510
255,Physics General Entry (options),DC175,419,402
256,Biotechnology,DC181,499,495
257,Electronic and Computer Engineering (with choice of four majors),DC190,413,nan
258,Mechatronic Engineering,DC193,411,nan
259,Mechanical and Manufacturing Engineering,DC195,425,nan
260,Biomedical Engineering,DC197,423,nan
261,Common Entry into Engineering (Undenominated Entry),DC200,422,nan
262,Common Entry into Science (Undenominated Entry),DC201,498,488
263,Sport Science and Health,DC202,500,498
264,Science Education,DC203,435,nan
265,Athletic Therapy and Training,DC204,522,519
266,Physical Education with Biology,DC205,531,nan
267,Physical Education with Mathematics,DC206,499,nan
268,Psychology,DC208,532,521
269,Health and Society,DC209,465,440
270,General Nursing,DC215,454,433
271,Mental Health Nursing,DC216,418,403
272,Intellectual Disability Nursing,DC217,370,nan
273,Children`s and General Nursing (Integrated),DC218,500,498
274,"Economics, Politics and Law",DC230,435,nan
275,International Relations,DC231,397,nan
276,Law and Society (BCL),DC232,466,nan
277,Education and Training - Daytime and Flexible Delivery Mode (full-time),DC235,309,nan
278,Social Sciences and Cultural Innovation,DC238,377,nan
279,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",DC239,430,nan
280,"Marketing, Innovation and Technology",DC240,476,474
281,Arts (Joint Honours) - Media Studies,DC291,376,nan
282,Arts (Joint Honours) - Law,DC292,403,nan
283,Arts (Joint Honours) - International Languages,DC293,377,nan
284,Arts (Joint Honours) - Politics,DC295,376,nan
285,Accounting and Finance,DK810,305,305
286,Business Studies,DK816,300,300
287,Computing in Games Development,DK820,311,311
288,Computing in Software Development,DK821,302,302
289,Augmented and Virtual Reality,DK822,307,nan
290,Building Surveying,DK830,336,nan
291,Architectural Technology,DK831,389,nan
292,Construction Management,DK832,387,nan
293,Engineering (Common Entry),DK843,340,340
294,Mechanical Engineering,DK844,305,305
295,Electrical & Electronic Engineering,DK845,304,304
296,Civil Engineering,DK846,391,361
297,International Tourism Management,DK850,317,317
298,Music (audition),DK860,532,532
299,Arts,DK861,302,302
300,Social Care,DK862,301,nan
301,Creative Media,DK863,308,308
302,Film and Television Production,DK864,300,300
303,Audio and Music Production,DK865,301,nan
304,General Nursing,DK870,403,401
305,Intellectual Disability Nursing,DK872,336,nan
306,Mental Health Nursing,DK874,356,nan
307,Early Childhood Studies,DK876,321,nan
308,Midwifery,DK877,440,nan
309,Health and Physical Activity,DK880,328,nan
310,Agriculture (Award options),DK882,310,nan
311,Science (Award options),DK883,358,321
312,Sustainable Agriculture,DK884,nan,nan
313,Agri-Food Production,DK885,nan,nan
314,Biopharmaceutical Science,DK886,301,nan
315,Environmental Science,DK887,330,nan
316,"English, Media and Cultural Studies",DL821,212,212
317,Arts Management,DL822,229,229
318,Business Management,DL823,235,nan
319,Applied Psychology,DL825,379,nan
320,Visual Communication Design,DL826,855,nan
321,Art,DL827,572,nan
322,"3D Design, Modelmaking and Digital Art",DL828,506,nan
323,Design for Stage and Screen (Costume Design),DL829,593,nan
324,Design for Stage and Screen (Character Makeup Design),DL830,939,nan
325,Design for Stage and Screen (Production Design),DL831,781,nan
326,Animation,DL832,920,nan
327,Photography,DL833,650,nan
328,Film and Television Production,DL834,990,nan
329,Creative Computing,DL836,219,nan
330,New Media Studies,DL837,201,nan
331,Creative Music Production,DL838,754,nan
332,Interaction and User Experience Design,DL839,683,683
333,Digital Marketing,DL840,228,228
334,English and Equality Studies,DL841,276,nan
335,Architecture,DN100,510,nan
336,Landscape Architecture,DN120,407,nan
337,City Planning and Environmental Policy,DN130,407,400
338,Engineering (Common Entry),DN150,531,521
339,Science (options),DN200,533,nan
340,Computer Science (Common Entry),DN201,510,nan
341,Actuarial and Financial Studies,DN230,601,nan
342,Sustainability,DN240,440,nan
343,Agricultural Science (options),DN250,456,455
344,Dairy Business,DN252,410,nan
345,Agri - Environmental Sciences,DN253,418,nan
346,Food Science,DN261,477,nan
347,Human Nutrition,DN262,531,nan
348,Forestry,DN271,311,nan
349,"Horticulture, Landscape and Sportsturf Management",DN272,297,282
350,Veterinary Medicine - Undergraduate Entry,DN300,589,nan
351,Veterinary Medicine - Graduate Entry (GAMSAT required),DN301,nan,nan
352,Veterinary Nursing,DN310,478,477
353,Medicine - Undergraduate Entry (HPAT required),DN400,737,736
354,Medicine - Graduate Entry (GAMSAT required),DN401,nan,nan
