,code,title,EOS,Mid
46,CK401,Computer Science,402,456
47,CK402,Biological and Chemical Sciences,498,520
48,CK404,"Biological, Earth and Environmental Sciences",412,451
49,CK405,Genetics,476,496
50,CK406,Chemical Sciences,457,488
51,CK407,Mathematical Sciences,531,578
52,CK408,Physics and Astrophysics,511,566
53,CK409,Industrial Physics (offered jointly by UCC and CIT),413,532
54,CK411,Data Science and Analytics,509,542
2,CK504,Nutritional Sciences,492,509
3,CK505,Food Science,444,477
4,CK506,International Development and Food Policy,367,410
5,CK600,Engineering,465,532
6,CK606,Architecture (offered jointly by UCC and CIT),465,496
7,CK701,Medicine (Undergraduate Entry - HPAT required),#729,740
8,CK702,Dentistry,590,613
9,CK703,Pharmacy,577,589
10,CK704,Occupational Therapy,532*,554
11,CK705,Speech and Language Therapy,509,529
12,CK706,Public Health Sciences,419,451
13,CK707,Medical and Health Sciences,510*,543
14,CK710,General Nursing,440,466
15,CK712,Children`s and General Nursing (Integrated),499,520
16,CK720,Mental Health Nursing,398,429
17,CK730,Intellectual Disability Nursing,359,388
18,CK740,Midwifery,444,474
19,CK791,Medicine  - Graduate Entry (GAMSAT required),#58*,59
20,,American College,,
21,AC120,International Business,234,269
22,AC137,Liberal Arts,252,275
23,,CCT College Dublin,,
24,CT125,Information Technology,235,280
25,,Marino Institute of Education,,
26,CM001,Education - Primary Teaching,452*,462
27,CM002,Education - Primary Teaching - Gaeltacht Applicants,#421,440
28,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,#491,506
29,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),#492,569
30,CM010,Education Studies,317,373
31,CM020,Early Childhood Education,336,363
32,,Dublin Business School,,
33,DB500,Computing,242,320
34,DB501,Computing (Cloud Computing),326,329
35,DB502,Computing (Data Analytics and Big Data),269,269
36,DB503,Computing (Software Development),242,282
37,DB504,Computing (Web and Mobile Technology),227,269
38,DB510,Audio Production and Music Project Management,233,293
39,DB512,Business Studies,229,301
40,DB514,Business Studies (Law),269,337
41,DB515,Business Studies (Human Resource Management),225,288
42,DB516,Financial Services,328,336
43,DB517,Event Management,226,327
44,DB518,Marketing (Digital Media),210,289
45,DB521,Accounting and Finance,225,271
46,DB524,Business Information Systems,402,402
47,DB525,Marketing (Digital Media and Cloud Computing),284,309
48,DB526,Business Information Systems (Cloud Computing),253,288
49,DB527,Applied Social Care,235,288
50,DB531,Marketing,220,288
51,DB562,Psychology,208,310
52,DB566,Social Science,216,308
53,DB567,Film,192,295
54,DB568,Law,245,308
2,DC001,Education - Early Childhood Education,398,424
3,DC002,Education - Primary Teaching,462*,485
4,DC003,Education - Primary Teaching - Gaeltacht Applicants,#433,473
5,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),#357,
6,DC005,Education - Primary Teaching - Irish Sign Language,#316,316
7,DC009,Arts (Joint Honours) - Humanities,347,408
8,DC010,Post Primary Teacher Education - Religious Education and English,386,413
9,DC011,Post Primary Teacher Education - Religious Education and History,352,389
10,DC012,Post Primary Teacher Education - Religious Education and Music,#367,415
11,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410,509
12,DC014,BA in Jazz and Contemporary Music Performance,#428,590
13,DC110,Business Studies International,440,462
14,DC111,Business Studies,463,479
15,DC112,Global Business (France),495,510
16,DC113,Global Business (Germany),440,476
17,DC114,Global Business (Spain),501,543
18,DC115,Accounting and Finance,487,500
19,DC116,Global Business (USA),578,589
20,DC117,Aviation Management / Aviation Management with Pilot Studies,463,487
21,DC118,Gnó agus Gaeilge / Business and Irish,357,399
22,DC119,Global Business (Canada),566,577
23,DC120,Enterprise Computing,350,389
24,DC121,Computer Applications,370,418
25,DC123,Data Science,467,511
26,DC126,Actuarial Mathematics,520,543
27,DC127,Common Entry into Actuarial and Financial Mathematics,509,531
28,DC131,Communication Studies,400,441
29,DC132,Journalism,401,440
30,DC133,Multimedia,403,451
31,DC155,Applied Language and Translation Studies,371,430
32,DC161,Analytical Science,446,463
33,DC162,Chemical and Pharmaceutical Sciences,488,498
34,DC166,Environmental Science and Technology,412,442
35,DC167,Physics with Astronomy,434,477
36,DC168,Genetics and Cell Biology,489,500
37,DC171,Applied Physics,402,433
38,DC173,Physics with Biomedical Sciences,402,458
39,DC181,Biotechnology,476,488
40,DC190,Electronic and Computer Engineering (with choice of four majors),391,433
41,DC193,Mechatronic Engineering,404,445
42,DC195,Mechanical and Manufacturing Engineering,401,444
